600000.SS,浦发银行,金融
600008.SS,首创股份,公用事业
600009.SS,上海机场,工业
600010.SS,包钢股份,基础材料
600011.SS,华能国际,公用事业
600015.SS,华夏银行,金融
600016.SS,民生银行,金融
600018.SS,上港集团,工业
600019.SS,宝钢股份,基础材料
600021.SS,上海电力,公用事业
600028.SS,中国石化,能源
600029.SS,南方航空,工业
600030.SS,中信证券,金融
600031.SS,三一重工,工业
600036.SS,招商银行,金融
600038.SS,中直股份,工业
600048.SS,保利地产,金融
600050.SS,中国联通,通信
600061.SS,国投资本,金融
600066.SS,宇通客车,消费
600068.SS,葛洲坝,工业
600074.SS,ST保千里,科技
600085.SS,同仁堂,消费
600089.SS,特变电工,工业
600100.SS,同方股份,科技
600104.SS,上汽集团,消费
600109.SS,国金证券,金融
600111.SS,北方稀土,基础材料
600115.SS,东方航空,工业
600118.SS,中国卫星,工业
600153.SS,建发股份,工业
600157.SS,永泰能源,能源
600170.SS,上海建工,工业
600177.SS,雅戈尔,消费
600188.SS,兖州煤业,能源
600196.SS,复星医药,消费
600208.SS,新湖中宝,金融
600219.SS,南山铝业,基础材料
600221.SS,海航控股,工业
600233.SS,圆通速递,工业
600271.SS,航天信息,科技
600276.SS,恒瑞医药,消费
600297.SS,广汇汽车,消费
600309.SS,万华化学,基础材料
600332.SS,白云山,消费
600352.SS,浙江龙盛,基础材料
600362.SS,江西铜业,基础材料
600369.SS,西南证券,金融
600372.SS,中航电子,工业
600373.SS,中文传媒,消费
600376.SS,首开股份,金融
600383.SS,金地集团,金融
600390.SS,五矿资本,金融
600406.SS,国电南瑞,工业
600415.SS,小商品城,工业
600436.SS,片仔癀,消费
600482.SS,中国动力,工业
600485.SS,信威集团,通信
600489.SS,中金黄金,基础材料
600498.SS,烽火通信,通信
600518.SS,康美药业,消费
600519.SS,贵州茅台,消费
600522.SS,中天科技,通信
600535.SS,天士力,消费
600547.SS,山东黄金,基础材料
600549.SS,厦门钨业,基础材料
600570.SS,恒生电子,科技
600583.SS,海油工程,能源
600585.SS,海螺水泥,基础材料
600588.SS,用友网络,科技
600606.SS,绿地控股,金融
600637.SS,东方明珠,消费
600649.SS,城投控股,金融
600660.SS,福耀玻璃,消费
600663.SS,陆家嘴,金融
600674.SS,川投能源,公用事业
600682.SS,南京新百,消费
600685.SS,中船防务,工业
600688.SS,上海石化,能源
600690.SS,青岛海尔,消费
600703.SS,三安光电,科技
600704.SS,物产中大,工业
600739.SS,辽宁成大,工业
600741.SS,华域汽车,消费
600795.SS,国电电力,公用事业
600804.SS,鹏博士,科技
600816.SS,安信信托,金融
600820.SS,隧道股份,工业
600827.SS,百联股份,消费
600837.SS,海通证券,金融
600871.SS,石化油服,能源
600886.SS,国投电力,公用事业
600887.SS,伊利股份,消费
600893.SS,航发动力,工业
600895.SS,张江高科,金融
600900.SS,长江电力,公用事业
601006.SS,大秦铁路,工业
601009.SS,南京银行,金融
601088.SS,中国神华,能源
601099.SS,太平洋,金融
601111.SS,中国国航,工业
601166.SS,兴业银行,金融
601169.SS,北京银行,金融
601186.SS,中国铁建,工业
601318.SS,中国平安,金融
601328.SS,交通银行,金融
601333.SS,广深铁路,工业
601390.SS,中国中铁,工业
601398.SS,工商银行,金融
601600.SS,中国铝业,基础材料
601601.SS,中国太保,金融
601628.SS,中国人寿,金融
601766.SS,中国中车,工业
601857.SS,中国石油,能源
601866.SS,中远海发,工业
601872.SS,招商轮船,工业
601898.SS,中煤能源,能源
601899.SS,紫金矿业,基础材料
601919.SS,中远海控,工业
601939.SS,建设银行,金融
601958.SS,金钼股份,基础材料
601988.SS,中国银行,金融
601991.SS,大唐发电,公用事业
601998.SS,中信银行,金融
000001.SZ,平安银行,金融
000002.SZ,万科A,金融
000008.SZ,神州高铁,工业
000060.SZ,中金岭南,基础材料
000063.SZ,中兴通讯,通信
000069.SZ,华侨城A,消费
000100.SZ,TCL集团,消费
000157.SZ,中联重科,工业
000338.SZ,潍柴动力,工业
000402.SZ,金融街,金融
000413.SZ,东旭光电,科技
000415.SZ,渤海金控,工业
000423.SZ,东阿阿胶,消费
000425.SZ,徐工机械,工业
000503.SZ,海虹控股,科技
000538.SZ,云南白药,消费
000540.SZ,中天金融,金融
000559.SZ,万向钱潮,消费
000568.SZ,泸州老窖,消费
000623.SZ,吉林敖东,消费
000625.SZ,长安汽车,消费
000627.SZ,天茂集团,金融
000630.SZ,铜陵有色,基础材料
000671.SZ,阳光城,金融
000686.SZ,东北证券,金融
000709.SZ,河钢股份,基础材料
000723.SZ,美锦能源,能源
000725.SZ,京东方A,科技
000728.SZ,国元证券,金融
000738.SZ,航发控制,工业
000750.SZ,国海证券,金融
000768.SZ,中航飞机,工业
000783.SZ,长江证券,金融
000792.SZ,盐湖股份,基础材料
000826.SZ,启迪桑德,工业
000839.SZ,中信国安,消费
000858.SZ,五粮液,消费
000876.SZ,新希望,消费
000895.SZ,双汇发展,消费
