"","MLP","DBN","SAE","RNN","LSTM","GRU","CART","NB","RF","LR","SVM","XGBoost"
"1",0.5728,0.5702,0.5675,0.5246,0.5162,0.511,0.5531,0.6122,0.484,0.5092,0.5001,0.4935
"2",0.5521,0.549,0.5463,0.4522,0.4697,0.4707,0.449,0.5072,0.4095,0.4494,0.4331,0.4044
"3",0.5314,0.5279,0.5251,0.3799,0.4232,0.4305,0.345,0.4023,0.3351,0.3896,0.3662,0.3154
"4",0.5107,0.5068,0.5039,0.3077,0.3767,0.3904,0.2411,0.2976,0.2608,0.3299,0.2994,0.2266
"5",0.4901,0.4858,0.4828,0.2356,0.3303,0.3503,0.1374,0.193,0.1866,0.2703,0.2327,0.1379
"6",0.4695,0.4648,0.4617,0.1636,0.284,0.3102,0.0339,0.0886,0.1125,0.2108,0.1661,0.0493
"7",0.5248,0.5216,0.5186,0.3917,0.425,0.4302,0.3437,0.421,0.3463,0.3963,0.3746,0.3318
"8",0.5042,0.5005,0.4975,0.3195,0.3785,0.39,0.2399,0.3162,0.272,0.3366,0.3078,0.2429
"9",0.4835,0.4795,0.4764,0.2474,0.3321,0.3499,0.1362,0.2116,0.1978,0.277,0.2411,0.1542
"10",0.463,0.4585,0.4553,0.1754,0.2858,0.3099,0.0327,0.1072,0.1237,0.2174,0.1745,0.0656
"11",0.4424,0.4375,0.4342,0.1035,0.2396,0.2699,-0.0707,0.0029,0.0497,0.158,0.1079,-0.0229
"12",0.4219,0.4165,0.4132,0.0317,0.1934,0.2299,-0.174,-0.1013,-0.0242,0.0986,0.0415,-0.1113
"13",0.4774,0.4736,0.4704,0.2599,0.3344,0.3501,0.1363,0.231,0.2095,0.2842,0.25,0.1711
"14",0.4568,0.4526,0.4493,0.1879,0.2881,0.31,0.0328,0.1265,0.1354,0.2247,0.1834,0.0825
"15",0.4363,0.4316,0.4282,0.1159,0.2419,0.27,-0.0706,0.0222,0.0614,0.1652,0.1168,-0.006
"16",0.4158,0.4107,0.4072,0.0441,0.1957,0.2301,-0.1739,-0.082,-0.0125,0.1058,0.0504,-0.0944
"17",0.3953,0.3898,0.3862,-0.0276,0.1495,0.1902,-0.277,-0.1861,-0.0863,0.0465,-0.016,-0.1827
"18",0.3748,0.3689,0.3653,-0.0992,0.1034,0.1503,-0.3799,-0.29,-0.16,-0.0127,-0.0823,-0.2708
"19",0.4305,0.4261,0.4226,0.1289,0.2446,0.2706,-0.0694,0.0421,0.0737,0.1729,0.1263,0.0115
"20",0.41,0.4052,0.4016,0.057,0.1984,0.2306,-0.1726,-0.0621,-3e-04,0.1135,0.0598,-0.0769
"21",0.3895,0.3843,0.3806,-0.0147,0.1522,0.1907,-0.2757,-0.1662,-0.0741,0.0542,-0.0066,-0.1652
"22",0.3691,0.3634,0.3597,-0.0863,0.1062,0.1509,-0.3787,-0.2701,-0.1478,-0.005,-0.0729,-0.2533
"23",0.3487,0.3426,0.3388,-0.1578,0.0601,0.1111,-0.4815,-0.3739,-0.2214,-0.0642,-0.1391,-0.3414
"24",0.3283,0.3217,0.3179,-0.2293,0.0142,0.0713,-0.5842,-0.4775,-0.2949,-0.1233,-0.2052,-0.4293
"25",0.3841,0.3791,0.3754,-0.0013,0.1554,0.1917,-0.2734,-0.1457,-0.0614,0.0623,0.0033,-0.1471
"26",0.3637,0.3582,0.3544,-0.0729,0.1093,0.1518,-0.3764,-0.2497,-0.1351,0.0031,-0.063,-0.2353
"27",0.3433,0.3374,0.3335,-0.1445,0.0633,0.112,-0.4792,-0.3535,-0.2087,-0.0561,-0.1292,-0.3233
"28",0.3229,0.3166,0.3126,-0.2159,0.0173,0.0723,-0.5819,-0.4572,-0.2823,-0.1152,-0.1953,-0.4113
"29",0.3025,0.2958,0.2918,-0.2873,-0.0286,0.0326,-0.6844,-0.5607,-0.3557,-0.1742,-0.2613,-0.4991
"30",0.2822,0.2751,0.271,-0.3585,-0.0744,-0.0071,-0.7868,-0.6641,-0.429,-0.2331,-0.3273,-0.5868
