"","MLP","DBN","SAE","RNN","LSTM","GRU","CART","NB","RF","LR","SVM","XGBoost"
"1",1.4027,1.4003,1.3931,1.4876,1.5418,1.5501,1.2229,1.1119,1.4375,1.5578,1.4227,1.4694
"2",1.3525,1.3488,1.3413,1.2736,1.4005,1.4268,0.9763,0.9356,1.2078,1.3697,1.2253,1.1938
"3",1.3019,1.2969,1.289,1.0579,1.2578,1.3023,0.7263,0.7584,0.9763,1.1796,1.0263,0.9161
"4",1.2509,1.2445,1.2364,0.8411,1.1139,1.1765,0.4736,0.5804,0.7436,0.9882,0.8263,0.6372
"5",1.1996,1.1918,1.1834,0.6237,0.969,1.0499,0.2191,0.4021,0.5104,0.7958,0.6255,0.3581
"6",1.1479,1.1388,1.1301,0.4063,0.8235,0.9224,-0.0364,0.2236,0.2773,0.6029,0.4244,0.0795
"7",1.2996,1.2953,1.2872,1.1103,1.2817,1.3133,0.757,0.7905,1.0278,1.2127,1.0676,0.9843
"8",1.2486,1.243,1.2346,0.8938,1.1379,1.1876,0.505,0.6126,0.7955,1.0215,0.8678,0.7058
"9",1.1972,1.1903,1.1816,0.6766,0.9932,1.061,0.2511,0.4343,0.5625,0.8293,0.6672,0.4269
"10",1.1455,1.1373,1.1282,0.4591,0.8477,0.9336,-0.004,0.2558,0.3294,0.6365,0.4662,0.1483
"11",1.0935,1.0839,1.0746,0.242,0.7016,0.8056,-0.2594,0.0775,0.0968,0.4436,0.2654,-0.1291
"12",1.0413,1.0303,1.0206,0.0257,0.5554,0.6771,-0.5143,-0.1003,-0.1346,0.251,0.0651,-0.4045
"13",1.1936,1.1875,1.1785,0.7293,1.0157,1.071,0.2851,0.4662,0.6145,0.8624,0.7084,0.4971
"14",1.142,1.1345,1.1252,0.5128,0.8708,0.9441,0.0321,0.2883,0.3826,0.6707,0.5083,0.2199
"15",1.0901,1.0812,1.0717,0.2964,0.7253,0.8166,-0.2213,0.1105,0.151,0.4787,0.3083,-0.0564
"16",1.0379,1.0277,1.0178,0.0807,0.5794,0.6887,-0.4745,-0.067,-0.0797,0.287,0.1086,-0.331
"17",0.9854,0.9739,0.9637,-0.1339,0.4335,0.5605,-0.7267,-0.2437,-0.3088,0.0958,-0.0902,-0.603
"18",0.9328,0.9199,0.9094,-0.3469,0.2878,0.4323,-0.9771,-0.4195,-0.5359,-0.0942,-0.2878,-0.8719
"19",1.0862,1.0781,1.0683,0.3537,0.7496,0.8304,-0.1751,0.1456,0.2086,0.5184,0.3534,0.0217
"20",1.0342,1.0247,1.0147,0.1393,0.6047,0.7033,-0.4254,-0.0309,-0.0204,0.3282,0.155,-0.2509
"21",0.9819,0.9711,0.9607,-0.0742,0.4596,0.576,-0.6751,-0.2068,-0.2481,0.1384,-0.0426,-0.5214
"22",0.9294,0.9172,0.9066,-0.2862,0.3146,0.4485,-0.9232,-0.3818,-0.4741,-0.0504,-0.2392,-0.7891
"23",0.8767,0.8632,0.8522,-0.4965,0.17,0.3211,-1.1693,-0.5558,-0.6978,-0.238,-0.4343,-1.0534
"24",0.8239,0.809,0.7977,-0.7045,0.0258,0.194,-1.4125,-0.7283,-0.9188,-0.424,-0.6276,-1.3135
"25",0.9785,0.9684,0.958,-0.0099,0.4878,0.5943,-0.614,-0.1663,-0.1821,0.1862,0.0089,-0.4325
"26",0.9263,0.9148,0.904,-0.2205,0.3439,0.4679,-0.8592,-0.3403,-0.4063,-0.001,-0.1862,-0.6982
"27",0.8738,0.8609,0.8499,-0.4296,0.2003,0.3415,-1.1027,-0.5132,-0.6285,-0.1871,-0.38,-0.9608
"28",0.8212,0.807,0.7957,-0.6366,0.0571,0.2153,-1.3437,-0.6849,-0.8482,-0.3718,-0.5722,-1.2198
"29",0.7684,0.7528,0.7413,-0.8412,-0.0854,0.0894,-1.5818,-0.8551,-1.0652,-0.5547,-0.7625,-1.4747
"30",0.7155,0.6986,0.6868,-1.0431,-0.2271,-0.0359,-1.8162,-1.0236,-1.2788,-0.7356,-0.9505,-1.7248
