"","MLP","DBN","SAE","RNN","LSTM","GRU","CART","NB","RF","LR","SVM","XGBoost"
"1",0.6082,0.6086,0.613,0.5648,0.5456,0.5429,0.5694,0.7469,0.5695,0.541,0.5775,0.5632
"2",0.6115,0.6122,0.6168,0.6133,0.5759,0.5665,0.6272,0.7765,0.6317,0.5843,0.6249,0.6419
"3",0.615,0.6163,0.6207,0.6731,0.6098,0.5922,0.6966,0.8088,0.7041,0.6353,0.682,0.7296
"4",0.6188,0.6208,0.6247,0.7426,0.6468,0.6194,0.7674,0.8418,0.7777,0.6901,0.7435,0.8158
"5",0.6229,0.6256,0.6289,0.8083,0.6844,0.6471,0.8338,0.8728,0.8426,0.7453,0.8045,0.8858
"6",0.6273,0.6305,0.6333,0.8637,0.72,0.6763,0.8887,0.8986,0.8934,0.7979,0.8563,0.9324
"7",0.6137,0.6145,0.6191,0.6577,0.6033,0.587,0.6847,0.8049,0.6893,0.6265,0.6725,0.7088
"8",0.6174,0.6187,0.623,0.7181,0.6384,0.6135,0.7485,0.835,0.7556,0.6766,0.7304,0.7848
"9",0.6213,0.6234,0.627,0.7818,0.6746,0.6408,0.8115,0.8641,0.818,0.7292,0.7859,0.8542
"10",0.6255,0.6282,0.6313,0.8413,0.7107,0.668,0.867,0.889,0.8721,0.7797,0.8387,0.9087
"11",0.6298,0.6331,0.6359,0.8884,0.7451,0.6964,0.9104,0.9099,0.9134,0.8267,0.8828,0.9455
"12",0.6343,0.6382,0.6406,0.9237,0.7776,0.7254,0.9432,0.9269,0.9426,0.8674,0.9169,0.9684
"13",0.6214,0.623,0.6269,0.7549,0.67,0.6369,0.7815,0.8546,0.7857,0.7131,0.7661,0.8131
"14",0.6256,0.6277,0.6312,0.8084,0.7032,0.6627,0.8327,0.8785,0.8387,0.7597,0.8138,0.8688
"15",0.6299,0.6327,0.6357,0.8579,0.735,0.6887,0.8793,0.8998,0.8851,0.8037,0.8576,0.9142
"16",0.6344,0.6379,0.6406,0.8991,0.7664,0.7163,0.9174,0.9179,0.9207,0.8449,0.8955,0.9473
"17",0.6391,0.6431,0.6456,0.9305,0.7963,0.7444,0.9467,0.9335,0.9468,0.8802,0.925,0.969
"18",0.6443,0.6487,0.6511,0.9528,0.823,0.7721,0.9667,0.9457,0.965,0.9091,0.9471,0.982
"19",0.6299,0.632,0.6357,0.8218,0.7242,0.6808,0.8419,0.8857,0.8488,0.7794,0.8291,0.8725
"20",0.6345,0.6373,0.6406,0.8645,0.7528,0.7063,0.8839,0.9047,0.8891,0.8181,0.8667,0.9131
"21",0.6394,0.6427,0.6459,0.9018,0.7812,0.7325,0.9188,0.9216,0.9217,0.8538,0.8998,0.9442
"22",0.6446,0.6481,0.6514,0.9313,0.8084,0.7591,0.9461,0.9361,0.9463,0.8857,0.9271,0.9661
"23",0.65,0.6542,0.6572,0.9529,0.8329,0.7859,0.9656,0.9481,0.9642,0.9122,0.9481,0.9801
"24",0.6561,0.661,0.6634,0.9681,0.8555,0.8113,0.9789,0.9576,0.9764,0.9338,0.9633,0.9885
"25",0.6399,0.6432,0.646,0.867,0.7666,0.724,0.8832,0.9079,0.8893,0.827,0.871,0.9087
"26",0.6453,0.6496,0.6519,0.9005,0.7926,0.749,0.9165,0.9242,0.9197,0.8585,0.9005,0.9388
"27",0.6511,0.6561,0.6583,0.929,0.8169,0.7741,0.9433,0.9382,0.9435,0.8877,0.9262,0.9611
"28",0.6573,0.663,0.6649,0.9508,0.8399,0.7989,0.9629,0.9497,0.9615,0.9128,0.9467,0.9766
"29",0.664,0.6704,0.6719,0.9664,0.8611,0.8225,0.9768,0.9591,0.9744,0.9331,0.9619,0.9863
"30",0.6709,0.6777,0.6794,0.9774,0.8804,0.8445,0.9862,0.9665,0.9831,0.9498,0.973,0.9921
