"","MLP","DBN","SAE","RNN","LSTM","GRU","CART","NB","RF","LR","SVM","XGBoost"
"1",0.5559,0.5565,0.5564,0.5681,0.572,0.5717,0.5153,0.5317,0.5785,0.5809,0.5716,0.5803
"2",0.5523,0.5527,0.5525,0.5525,0.5608,0.562,0.5009,0.5227,0.5612,0.5665,0.5571,0.5595
"3",0.5488,0.5492,0.5489,0.5389,0.5512,0.5535,0.4879,0.5149,0.546,0.5542,0.5445,0.5411
"4",0.5453,0.5456,0.5452,0.5258,0.5414,0.5451,0.4747,0.5068,0.5313,0.5418,0.532,0.5234
"5",0.5417,0.5419,0.5414,0.5127,0.532,0.5368,0.4622,0.4991,0.5172,0.5297,0.5202,0.5067
"6",0.5383,0.5383,0.5379,0.5004,0.523,0.5286,0.4504,0.4917,0.5036,0.518,0.5088,0.4905
"7",0.5494,0.5499,0.5497,0.5444,0.5541,0.5558,0.4925,0.517,0.552,0.5584,0.5492,0.5488
"8",0.5456,0.5459,0.5456,0.5286,0.5424,0.5456,0.4775,0.508,0.5342,0.5437,0.5345,0.5275
"9",0.5421,0.5423,0.542,0.5161,0.5335,0.5377,0.4654,0.5007,0.5207,0.532,0.5231,0.511
"10",0.5386,0.5388,0.5383,0.5036,0.5246,0.5296,0.453,0.4931,0.5065,0.5205,0.5116,0.4946
"11",0.5353,0.5354,0.5349,0.4915,0.5156,0.5218,0.4419,0.4861,0.4937,0.5095,0.5007,0.4795
"12",0.5323,0.5323,0.5317,0.4808,0.5076,0.5148,0.4315,0.4796,0.4817,0.4995,0.4905,0.4652
"13",0.5431,0.5434,0.5431,0.5219,0.5368,0.5403,0.4707,0.5036,0.5269,0.5374,0.5286,0.5189
"14",0.5395,0.5397,0.5393,0.5078,0.5266,0.5314,0.4573,0.4956,0.5115,0.5242,0.5154,0.5005
"15",0.536,0.5361,0.5357,0.496,0.5181,0.5237,0.4458,0.4886,0.4985,0.5134,0.5046,0.4853
"16",0.5331,0.5331,0.5326,0.485,0.51,0.5167,0.4352,0.4818,0.4864,0.5031,0.4945,0.4711
"17",0.53,0.53,0.5293,0.4743,0.5018,0.5093,0.4252,0.4752,0.4746,0.4931,0.4846,0.4572
"18",0.5273,0.5271,0.5266,0.4648,0.4946,0.5029,0.4159,0.4692,0.4639,0.4838,0.4755,0.4445
"19",0.5373,0.5374,0.5371,0.5019,0.5216,0.5265,0.4514,0.4917,0.5049,0.5186,0.5098,0.4932
"20",0.5341,0.5341,0.5336,0.4902,0.5128,0.5188,0.4399,0.4846,0.4917,0.5074,0.499,0.4775
"21",0.5312,0.5312,0.5306,0.4798,0.5052,0.5122,0.4303,0.4782,0.4804,0.4977,0.4896,0.4644
"22",0.5281,0.5281,0.5275,0.4696,0.4976,0.5049,0.4206,0.4718,0.4689,0.4879,0.4799,0.4509
"23",0.5252,0.5251,0.5245,0.4598,0.4901,0.4984,0.411,0.4657,0.4581,0.4785,0.4707,0.4378
"24",0.5226,0.5223,0.5218,0.451,0.4833,0.4924,0.4023,0.4602,0.4481,0.4701,0.4621,0.4264
"25",0.5325,0.5325,0.5321,0.486,0.5089,0.515,0.436,0.4816,0.487,0.503,0.4949,0.4723
"26",0.5294,0.5294,0.5289,0.4753,0.501,0.5079,0.4258,0.475,0.4752,0.4928,0.4849,0.4588
"27",0.5266,0.5265,0.5259,0.4653,0.4937,0.5013,0.4164,0.469,0.4642,0.4838,0.4761,0.4458
"28",0.5238,0.5236,0.523,0.4562,0.4864,0.4948,0.4073,0.4632,0.4541,0.4747,0.4672,0.4336
"29",0.5211,0.5208,0.5203,0.4475,0.4798,0.4891,0.3985,0.4577,0.444,0.4662,0.4586,0.4218
"30",0.5186,0.5182,0.5176,0.4392,0.4733,0.4832,0.3901,0.4524,0.4348,0.4582,0.4509,0.4109
