"","MLP","DBN","SAE","RNN","LSTM","GRU","CART","NB","RF","LR","SVM","XGB"
"1",0.3332,0.3296,0.3325,0.2943,0.292,0.2934,0.3317,0.2975,0.3133,0.2942,0.3067,0.3041
"2",0.3128,0.3087,0.3118,0.2439,0.2327,0.2521,0.2266,0.2496,0.2384,0.2336,0.24,0.2137
"3",0.2924,0.2879,0.2912,0.1936,0.1735,0.2108,0.1216,0.2017,0.1636,0.1731,0.1734,0.1234
"4",0.2721,0.2672,0.2706,0.1433,0.1143,0.1697,0.0168,0.1539,0.0889,0.1126,0.107,0.0333
"5",0.2519,0.2464,0.25,0.0931,0.0553,0.1285,-0.0878,0.1062,0.0143,0.0522,0.0406,-0.0567
"6",0.2316,0.2257,0.2294,0.043,-0.0037,0.0875,-0.1924,0.0586,-0.0602,-0.008,-0.0257,-0.1466
"7",0.3249,0.3212,0.3242,0.2778,0.2729,0.2794,0.2953,0.2818,0.2898,0.2747,0.2855,0.2762
"8",0.3046,0.3004,0.3035,0.2274,0.2136,0.2381,0.1902,0.2339,0.2149,0.2141,0.2188,0.1859
"9",0.2842,0.2796,0.2829,0.1771,0.1544,0.1969,0.0853,0.1861,0.1401,0.1536,0.1523,0.0957
"10",0.2639,0.2588,0.2623,0.1269,0.0953,0.1557,-0.0195,0.1383,0.0654,0.0931,0.0858,0.0056
"11",0.2437,0.2381,0.2417,0.0767,0.0363,0.1146,-0.1241,0.0906,-0.0091,0.0328,0.0195,-0.0844
"12",0.2234,0.2174,0.2211,0.0266,-0.0226,0.0735,-0.2285,0.043,-0.0836,-0.0275,-0.0468,-0.1742
"13",0.3167,0.3129,0.3159,0.2613,0.2538,0.2654,0.2589,0.2661,0.2663,0.2551,0.2643,0.2484
"14",0.2964,0.2921,0.2952,0.211,0.1946,0.2241,0.1539,0.2182,0.1914,0.1946,0.1977,0.1581
"15",0.276,0.2713,0.2746,0.1607,0.1354,0.1829,0.049,0.1704,0.1167,0.1341,0.1312,0.0679
"16",0.2557,0.2505,0.254,0.1104,0.0763,0.1418,-0.0557,0.1227,0.042,0.0737,0.0647,-0.0221
"17",0.2355,0.2298,0.2334,0.0603,0.0173,0.1007,-0.1603,0.075,-0.0325,0.0134,-0.0016,-0.112
"18",0.2153,0.2091,0.2129,0.0102,-0.0416,0.0597,-0.2647,0.0274,-0.1069,-0.0469,-0.0678,-0.2018
"19",0.3085,0.3046,0.3076,0.2448,0.2348,0.2514,0.2225,0.2504,0.2428,0.2356,0.2431,0.2206
"20",0.2881,0.2838,0.2869,0.1945,0.1756,0.2102,0.1175,0.2026,0.168,0.1751,0.1765,0.1304
"21",0.2678,0.263,0.2663,0.1442,0.1164,0.169,0.0127,0.1548,0.0933,0.1146,0.11,0.0402
"22",0.2476,0.2422,0.2457,0.094,0.0574,0.1279,-0.0919,0.1071,0.0187,0.0543,0.0436,-0.0498
"23",0.2273,0.2215,0.2252,0.0439,-0.0016,0.0868,-0.1964,0.0595,-0.0558,-0.006,-0.0227,-0.1397
"24",0.2071,0.2008,0.2047,-0.0062,-0.0605,0.0458,-0.3008,0.0119,-0.1302,-0.0662,-0.0889,-0.2294
"25",0.3003,0.2962,0.2993,0.2284,0.2157,0.2374,0.1862,0.2348,0.2193,0.2161,0.2219,0.1929
"26",0.2799,0.2754,0.2786,0.1781,0.1565,0.1962,0.0813,0.187,0.1445,0.1556,0.1554,0.1026
"27",0.2597,0.2547,0.258,0.1278,0.0974,0.1551,-0.0235,0.1392,0.0699,0.0952,0.0889,0.0125
"28",0.2394,0.2339,0.2375,0.0776,0.0384,0.114,-0.1281,0.0915,-0.0047,0.0349,0.0226,-0.0774
"29",0.2192,0.2132,0.2169,0.0275,-0.0205,0.0729,-0.2326,0.0439,-0.0792,-0.0254,-0.0437,-0.1673
"30",0.1989,0.1926,0.1964,-0.0225,-0.0794,0.0319,-0.3369,-0.0037,-0.1535,-0.0856,-0.1099,-0.257
