"","MLP","DBN","SAE","RNN","LSTM","GRU","CART","NB","RF","LR","SVM","XGB"
"1",0.3583,0.3584,0.3547,0.3403,0.3489,0.3381,0.3413,0.3428,0.3284,0.3447,0.3429,0.3338
"2",0.3629,0.3638,0.3594,0.3779,0.3986,0.3636,0.4072,0.3712,0.3843,0.3963,0.3972,0.4203
"3",0.3677,0.3695,0.3647,0.4302,0.4707,0.3968,0.5168,0.4127,0.4842,0.4729,0.4787,0.5735
"4",0.3727,0.3756,0.3703,0.499,0.5639,0.4376,0.6564,0.4709,0.6172,0.5682,0.5844,0.7335
"5",0.3781,0.3821,0.3764,0.5767,0.6612,0.4873,0.7804,0.5424,0.7377,0.6653,0.6913,0.8447
"6",0.3839,0.389,0.3828,0.6529,0.746,0.5444,0.873,0.6162,0.8272,0.7501,0.7808,0.9118
"7",0.3596,0.36,0.356,0.35,0.3613,0.3446,0.3574,0.3502,0.3414,0.3585,0.3569,0.354
"8",0.3642,0.3655,0.3609,0.3907,0.4156,0.3717,0.432,0.3814,0.4067,0.4154,0.417,0.4541
"9",0.3691,0.3712,0.3662,0.4466,0.4936,0.4066,0.5534,0.427,0.5172,0.4971,0.5049,0.6168
"10",0.3742,0.3774,0.372,0.5183,0.5895,0.4495,0.6928,0.4885,0.6499,0.5937,0.6129,0.7662
"11",0.3796,0.3839,0.3781,0.5961,0.6842,0.5013,0.8105,0.561,0.7631,0.6884,0.7161,0.8649
"12",0.3856,0.3909,0.3847,0.671,0.7646,0.5595,0.8946,0.6342,0.8451,0.7691,0.8,0.9235
"13",0.3609,0.3615,0.3573,0.3607,0.3756,0.3517,0.377,0.3586,0.3586,0.3739,0.3727,0.3787
"14",0.3656,0.3671,0.3623,0.4047,0.4349,0.3805,0.4627,0.3929,0.4339,0.4365,0.4397,0.4929
"15",0.3705,0.3729,0.3678,0.4642,0.5176,0.4171,0.5916,0.4424,0.5504,0.5218,0.5327,0.6577
"16",0.3756,0.3792,0.3736,0.5377,0.6143,0.4624,0.7277,0.5067,0.6805,0.6183,0.6402,0.7939
"17",0.3812,0.3859,0.3799,0.6155,0.7056,0.5161,0.838,0.5796,0.7856,0.7099,0.7388,0.8816
"18",0.3873,0.393,0.3866,0.6887,0.7816,0.5751,0.9126,0.6517,0.8606,0.7864,0.8172,0.9331
"19",0.3622,0.3631,0.3588,0.3729,0.3912,0.3594,0.4004,0.3685,0.3795,0.3909,0.3909,0.4081
"20",0.3669,0.3687,0.3639,0.42,0.4555,0.3901,0.4966,0.4062,0.4622,0.4587,0.4642,0.5334
"21",0.3719,0.3746,0.3694,0.4826,0.5423,0.4286,0.6295,0.4589,0.5833,0.5465,0.5607,0.6936
"22",0.3772,0.3811,0.3754,0.5572,0.6377,0.4762,0.7609,0.5248,0.7081,0.642,0.6657,0.8175
"23",0.3829,0.3879,0.3818,0.6341,0.7254,0.5314,0.862,0.598,0.8054,0.73,0.7593,0.8956
"24",0.3894,0.3954,0.3888,0.7056,0.7972,0.5909,0.9275,0.6689,0.874,0.8022,0.8325,0.9412
"25",0.3635,0.3647,0.3602,0.3861,0.4082,0.3678,0.4274,0.3798,0.4015,0.4096,0.4114,0.4396
"26",0.3683,0.3704,0.3654,0.4362,0.4774,0.4005,0.5325,0.4211,0.4908,0.4814,0.4894,0.573
"27",0.3734,0.3765,0.3712,0.5013,0.5664,0.441,0.6667,0.4758,0.6142,0.5707,0.5875,0.7253
"28",0.379,0.3833,0.3775,0.5765,0.66,0.4905,0.7906,0.5429,0.733,0.6644,0.6894,0.8375
"29",0.3851,0.3904,0.3841,0.6521,0.7439,0.547,0.8824,0.6162,0.823,0.7485,0.7782,0.9074
"30",0.3917,0.3981,0.3913,0.7218,0.8115,0.6067,0.9395,0.6857,0.8858,0.8165,0.8463,0.948
