"","WinTrade","AnnRetTrade","AnnSharpeTrade","MaxDDTrade"
"MAT",0.524319868095631,0.184336339163507,0.765520265604881,0.520288633499408
"MSI",0.519400352733686,0.33476153516935,1.3943344315448,0.224024230645291
"XL",0.526404023470243,0.288912224892834,1.21266997605272,0.345679397305313
"EW",0.51304347826087,0.321227144894981,1.18431305509976,0.389846053970243
"AMZN",0.527851458885942,0.403469457239873,1.50169411974023,0.288311856453967
"NWL",0.5,0.179944508270341,0.718694582701092,0.45630426179614
"ROP",0.53968253968254,0.339933127552804,1.78048376959979,0.26642247641556
"HCP",0.519181585677749,0.171519635347775,0.745744692097695,0.466933110411279
"BMY",0.502258355916892,0.109908094312412,0.580902574769276,0.498290916271947
"NFLX",0.516532618409294,0.816766192052191,1.71848237513261,0.516302694456531
"EMN",0.519337016574586,0.327336178061308,1.3187992598511,0.307325971513256
"IP",0.519342359767892,0.363841816357214,1.27387874949672,0.307949368678403
"AMGN",0.522007042253521,0.26907160572379,1.33928957050936,0.181278286719814
"HCN",0.535037098103875,0.14499005981885,0.757076344337484,0.378631011941241
"REGN",0.498168498168498,0.59857977875518,1.48244125032706,0.312864316993453
"DHR",0.508620689655172,0.203635707608842,1.15851186033558,0.222052227317877
"SCG",0.506799637352675,0.101832979071576,0.632533350949613,0.45907022608934
"PLD",0.529304029304029,0.346178535641445,1.40155503070079,0.355246779015936
"BXP",0.530044843049327,0.346010487908965,1.58232429810348,0.222101561693557
"CME",0.502722323049002,0.295771168364472,1.3130824962017,0.209104774876748
"AVB",0.536523929471033,0.357443437705215,1.5542470803207,0.248910620166011
"AEP",0.529818496110631,0.149322615947366,1.03991852997413,0.136915601991908
"EL",0.51875,0.336717797927434,1.49927360433481,0.242313192782032
"PPL",0.492728828058169,0.0472344299220474,0.32435697437097,0.363212108237043
"VTR",0.540613718411552,0.244514227906505,1.08961744637774,0.429976802671126
"CHRW",0.533276450511945,0.26717232891573,1.37032753608907,0.269129825212439
"EIX",0.51962457337884,0.187581556865999,1.17388304015483,0.170422780661353
"VNO",0.521201413427562,0.266907481360397,1.19713769508571,0.340619424930749
"TWX",0.530649588289113,0.219291560640718,1.10458454468712,0.24736029121926
"CI",0.531040268456376,0.372260648051959,1.64008048333139,0.212760822716392
"NEE",0.528333333333333,0.196918293603109,1.33829447562087,0.21782422853412
"D",0.528301886792453,0.17708511071282,1.26421837464386,0.220343104807604
"EXC",0.479185119574845,0.0615753863104186,0.37709417593284,0.434376562479079
"PSA",0.543889845094664,0.337049101460684,1.6834670093423,0.125177686513346
"DUK",0.512820512820513,0.134751361499018,1.06538242162005,0.256217579999401
"SBUX",0.517790262172285,0.293617780393659,1.27479150516742,0.243487144852686
"MMC",0.529270248596632,0.230574645931467,1.37565433337372,0.202777917486711
"GRMN",0.503502626970228,0.25810121941544,0.985808299315536,0.444775100069943
"DGX",0.506238859180036,0.137171601209654,0.803762353175887,0.225268250234395
"GT",0.485564304461942,0.169466230746185,0.491906803928845,0.79352083855903
"SO",0.501350135013501,0.103239743049165,0.903204461543263,0.176335006968353
"BMS",0.515828677839851,0.186305114059994,1.05457014188537,0.33223802965357
"CELG",0.537859007832898,0.27460499530559,1.08327312815153,0.324970515990696
"AEE",0.519421860885276,0.1634611010334,1.06282947071426,0.216895385904886
"PFE",0.467244701348748,0.0500148403381093,0.316760894628519,0.432704705353853
"AIV",0.528099910793934,0.38662036485575,1.56038279333268,0.244735201532999
"CNP",0.505942275042445,0.125545459341501,0.745101763345494,0.2164482873265
"AON",0.532910388580492,0.235528717223801,1.41586534318716,0.227409591394952
"FFIV",0.526504941599281,0.525790896904172,1.42084614990416,0.423141099701929
"MDT",0.509353741496599,0.142360143159666,0.785418627281037,0.30446998350851
"PRGO",0.511824324324324,0.297472704050975,1.08219155150954,0.502771117937356
"BIIB",0.51006711409396,0.290087171658016,1.13757630199645,0.367153994813174
"EQR",0.515859766277129,0.310971886082526,1.32603205272209,0.287421176230766
"PGR",0.500894454382826,0.161259421915134,0.912092771404223,0.202890130231281
"NKE",0.488393686165274,0.160589851755646,0.810545230002263,0.422607180457162
"PAYX",0.513513513513513,0.159483590551278,0.994798808701886,0.197651151291235
"JCI",0.513035381750466,0.178195280409724,0.909213156616217,0.315601956798352
"MON",0.50313339301701,0.247155815002858,1.06362906768652,0.264319537732365
"PNC",0.510656436487639,0.272490194770301,1.13670741907498,0.468355294946837
"XEL",0.514655172413793,0.135839868690759,1.06493653465233,0.128848058219825
"MO",0.53887399463807,0.139406176498721,1.07209236296358,0.166929047740161
"SNI",0.517304189435337,0.269637685017515,1.21312472901783,0.287916596078198
"HSY",0.53874883286648,0.289730770098632,1.75934947462855,0.140099418800375
"FOXA",0.492321589882565,0.259667409794175,1.02488045789618,0.412513882656938
"KEY",0.503985828166519,0.237803332954558,0.803725570068275,0.377565296296963
"ABT",0.498204667863555,0.0733632919977243,0.478879556546842,0.370789504917082
"ALL",0.515232974910394,0.255786020267111,1.34177365745183,0.262991898815769
"ESS",0.54250657318142,0.331984379526039,1.56311784596502,0.249370788185557
"RSG",0.528957528957529,0.215772712587945,1.27644701189429,0.253735699440222
"MDLZ",0.513924050632911,0.164526646849291,1.02870665337369,0.156844542852371
"AFL",0.530853761622992,0.314447260736215,1.23045522248564,0.340431964788643
"AME",0.510551948051948,0.247110498789158,1.15990261339756,0.354950095028193
"CCI",0.510766580534022,0.278317644049519,1.45411686474943,0.19661098344597
"BSX",0.477413640389725,0.178517148932167,0.669404628047033,0.361596330385477
"SRE",0.523444160272805,0.166085840619172,1.05731613436112,0.187726571045808
"DTE",0.554128440366973,0.229948669612097,1.60627121274252,0.123681735565429
"MET",0.502767527675277,0.310282932357151,1.18160352645522,0.319260699285379
