"","WinTrade","AnnRetTrade","AnnSharpeTrade","MaxDDTrade"
"MAT",0.539473684210526,0.113618551850688,0.459843152402864,0.68274949537797
"MSI",0.537673297166968,0.256260593342287,1.32029556434742,0.22342095462415
"XL",0.544668587896254,0.218303670258962,1.03840894886382,0.282011894398133
"EW",0.538804071246819,0.277392801416171,1.0261369738829,0.395950615787172
"AMZN",0.539028887523049,0.372626917410161,1.34666058834093,0.315655761029064
"NWL",0.52757793764988,0.27217393624132,1.14600154579176,0.441516253996079
"ROP",0.553296703296703,0.275971379596811,1.4306857494402,0.25291298323938
"HCP",0.557889068389876,0.177555845691761,0.786607788141033,0.449010401406207
"BMY",0.537364517969196,0.150675253092056,0.711301525838078,0.382595238108856
"NFLX",0.553763440860215,0.610657558293322,1.84961548904817,0.349134806595433
"EMN",0.536842105263158,0.236352431315089,1.07117007086785,0.376679634106522
"IP",0.538770053475936,0.326650101925017,1.42016952885751,0.297412236930163
"AMGN",0.528252299605782,0.191338984265366,0.93637718425351,0.249184482937847
"HCN",0.559332509270705,0.193948318943385,1.02918009687988,0.317906863036911
"REGN",0.533151680290645,0.49847053719106,1.45973210014335,0.461779303268537
"DHR",0.523153252480706,0.25134862279078,0.973227161492454,0.274554423506919
"SCG",0.503298153034301,0.081392100127821,0.543774847667918,0.250941488798819
"PLD",0.549887892376682,0.31985378365869,1.36278512748235,0.386175289145494
"BXP",0.538666666666667,0.184700857708773,1.04350903789448,0.253942744049613
"CME",0.532945736434108,0.261531303497557,1.37150334710921,0.260910182852791
"AVB",0.551461988304094,0.236881649166494,1.27018627457033,0.299750152191309
"AEP",0.557219892150989,0.156094401005385,1.10478518473851,0.17022782130365
"EL",0.525316455696203,0.183725383490062,0.883456330686387,0.369120264408049
"PPL",0.544678429140581,0.108895813387119,0.745090601008214,0.219005803528265
"VTR",0.565751022793688,0.17307740250646,0.787545595160705,0.518810560699057
"CHRW",0.541809851088202,0.111556599042065,0.548670668286177,0.356622247449223
"EIX",0.538119087367835,0.151544132518352,0.89391287847013,0.229952639095195
"VNO",0.53033033033033,0.180404668079235,0.981272530317217,0.288792757843301
"TWX",0.535202863961814,0.224278810720827,1.11615383752525,0.342227327069157
"CI",0.548886138613861,0.307621981108188,1.41078168673548,0.31954658715384
"NEE",0.566271551724138,0.237093904564999,1.56690906525274,0.139763612063515
"D",0.539654144305307,0.148715654114915,1.04561573027856,0.161052700284637
"EXC",0.517844136926438,0.0546662082067075,0.33231101637557,0.358176918901338
"PSA",0.553669222343921,0.242562670234115,1.30850207191585,0.269688278594398
"DUK",0.538336052202284,0.124799196928702,0.885918636404897,0.230800154367552
"SBUX",0.543795620437956,0.275233912833641,1.30082026539459,0.297997830829207
"MMC",0.536223277909739,0.186732930969251,1.17260663078164,0.182771878567748
