"","WinTrade","AnnRetTrade","AnnSharpeTrade","MaxDDTrade"
"MAT",0.567478604344964,0.225392576217056,0.902295203075582,0.646302856595253
"MSI",0.563371740448757,0.378549357277148,1.91090159172667,0.202353452856433
"XL",0.565242494226328,0.326944571398648,1.51647500102709,0.266080392397384
"EW",0.563613231552163,0.386708649793627,1.41745595025761,0.328691493666023
"AMZN",0.56,0.476791859701007,1.70571178060336,0.308700838134869
"NWL",0.556291390728477,0.376515614986315,1.57246301357146,0.441516253996079
"ROP",0.575274725274725,0.369393081417004,1.88974215015176,0.252912983239381
"HCP",0.580906148867314,0.278089036496767,1.21130595209497,0.44311549213462
"BMY",0.566285714285714,0.259726129301975,1.21843258052625,0.381844423802517
"NFLX",0.57258064516129,0.736704701060485,2.20072534947376,0.316622054753616
"EMN",0.568820224719101,0.361468595888365,1.61139239298571,0.376679634106523
"IP",0.560240963855422,0.440414127535204,1.87037710717346,0.297412236930163
"AMGN",0.555847568988173,0.293916860300327,1.41764161589305,0.247663105692334
"HCN",0.586996904024768,0.292148974220186,1.52834914840745,0.317906863036911
"REGN",0.566363636363636,0.61291083935089,1.76836390621593,0.43404718682001
"DHR",0.554635761589404,0.361070201321115,1.38985452434708,0.274554423506919
"SCG",0.553135313531353,0.204188538597957,1.34994546411952,0.230907302817829
"PLD",0.569343065693431,0.41577592640243,1.74474711256858,0.386175289145494
"BXP",0.564,0.294794904261029,1.62951811790893,0.241926381988863
"CME",0.564599483204134,0.371675157616654,1.91137177394454,0.197516618138786
"AVB",0.570760233918129,0.334536074987242,1.74908618276165,0.24421999055236
"AEP",0.583333333333333,0.236581617412988,1.648316300649,0.17022782130365
"EL",0.553131597466573,0.318832072980967,1.50686680404397,0.234457664749759
"PPL",0.568660968660969,0.211018943085113,1.41497047434036,0.219005803528265
"VTR",0.585964912280702,0.261497600764526,1.17423202317571,0.471894472468302
"CHRW",0.573149741824441,0.220260949461605,1.07233713373715,0.297651670467306
"EIX",0.564659977703456,0.256666746278376,1.50064609331151,0.183551730909848
"VNO",0.556490384615385,0.293238285660048,1.5599218499074,0.243995739781917
"TWX",0.563582089552239,0.34134774134858,1.67098422586946,0.314555917197685
"CI",0.571517027863777,0.409948793505983,1.85007795409647,0.282132487288822
"NEE",0.586745689655172,0.316320692777991,2.05352832112166,0.139763612063515
"D",0.574836016696482,0.253051848506721,1.75845850469815,0.161052700284637
"EXC",0.555798687089716,0.158992361811601,0.956440978082381,0.3062368894034
"PSA",0.571741511500548,0.335078720621571,1.76994657947723,0.262275520676497
"DUK",0.567685589519651,0.215350107127223,1.51330097750116,0.230800154367552
"SBUX",0.567666422823701,0.387284015878171,1.79801528701758,0.297997830829207
"MMC",0.566071428571429,0.304866296672826,1.89646978906409,0.182771878567748
"GRMN",0.562803608605135,0.355082441627031,1.59989474742784,0.463469708607106
"DGX",0.558426966292135,0.241931359395154,1.27579433153313,0.242170267864913
"GT",0.553258145363409,0.422913905406423,1.30410484565912,0.484115404610104
"SO",0.57367758186398,0.174965386938803,1.41972911773982,0.192954797992869
"BMS",0.558739255014327,0.232122558078971,1.27978736100959,0.225719864115527
"CELG",0.567444507683551,0.355343046698559,1.31222469444465,0.437356216160452
"AEE",0.570945945945946,0.279736971542474,1.6842350102192,0.200780287592589
"PFE",0.547671840354767,0.239364972040437,1.6317143869628,0.214651124767657
"AIV",0.566942148760331,0.414573924834171,1.82840266896783,0.267336980720351
"CNP",0.569329073482428,0.2554519047104,1.52987283065094,0.353460578471709
"AON",0.578002244668911,0.29221211676492,1.6505534889167,0.257245189012734
"FFIV",0.55344262295082,0.361323544627696,1.19006483086225,0.634817397775052
"MDT",0.560158910329171,0.26307394614023,1.40678108025232,0.291538906222757
"PRGO",0.563174603174603,0.382682342229145,1.43584573986101,0.483781369831737
"BIIB",0.559696342305038,0.321071868387773,1.2162583639742,0.626524460683746
"EQR",0.581471747700394,0.348716956876713,1.82684643247912,0.215642963541488
"PGR",0.569994422755159,0.351160985752906,2.00855513772302,0.221057457096444
"NKE",0.568668046928916,0.31515125297169,1.56364520963849,0.230140607359201
"PAYX",0.564705882352941,0.264900914940061,1.6310210430451,0.236266098409059
"JCI",0.566433566433566,0.324512974712872,1.79855564080565,0.265094409395263
"MON",0.557177615571776,0.252775450300261,1.47202552339988,0.237918974243468
"PNC",0.575849056603774,0.373258355928637,2.26114246594048,0.254674178251033
"XEL",0.578648495173197,0.230789180686721,1.60189770297664,0.189328370188365
"MO",0.590496529631607,0.309198768915796,2.03515195580166,0.203792531960631
"SNI",0.568238213399504,0.323265084300905,1.71343574980083,0.305165836701395
"HSY",0.5625,0.300533527792541,1.90675310262326,0.167479206328392
"FOXA",0.556603773584906,0.346428429495196,1.60869109491615,0.320854528241971
"KEY",0.561188811188811,0.486750611874448,1.82558956965503,0.406365482974522
"ABT",0.559241706161137,0.236661964508082,1.41152527086004,0.289996223802652
"ALL",0.569587628865979,0.349594356284887,1.96968114387342,0.328730761713215
"ESS",0.576129392080312,0.345789591430718,1.79286549427539,0.219269331583722
"RSG",0.582105837424986,0.299069787195819,1.82330732890705,0.248188591010985
"MDLZ",0.563924050632911,0.228262899397683,1.33460442028288,0.222889073182693
"AFL",0.584424534803584,0.366079980284423,2.27480576344216,0.166046574878563
"AME",0.568385650224215,0.312394246661404,1.44656281750189,0.324883118969722
"CCI",0.562544674767691,0.298786270286453,1.80510381650156,0.197318290003718
