"","WinTrade","AnnRetTrade","AnnSharpeTrade","MaxDDTrade"
"MAT",0.573529411764706,0.140194062197305,0.696520887811385,0.583816671366506
"MSI",0.587513935340022,0.344701933995152,2.27809336374144,0.171253704589706
"XL",0.587251828631139,0.281648983372789,1.86894868475742,0.238882025151726
"EW",0.591966173361522,0.344791086990083,1.62411064931245,0.322978591972396
"AMZN",0.573333333333333,0.415162342041162,1.92897323934439,0.269690951476273
"NWL",0.572277227722772,0.206804309618897,1.04666438683889,0.422245230294353
"ROP",0.589268292682927,0.247711971589978,1.71868617540411,0.262301387774454
"HCP",0.586936522539098,0.188060199326858,1.05591087988818,0.465555226370753
"BMY",0.574040219378428,0.160576183076615,0.982002143834806,0.395498838436989
"NFLX",0.572709163346614,0.670057119397694,1.64791246128151,0.62413636138705
"EMN",0.573986804901037,0.309288698871193,1.53352939299637,0.367097502054653
"IP",0.57405614714424,0.37867901476059,2.01326705961366,0.232559824171024
"AMGN",0.549395161290323,0.158293303536697,0.931474732343185,0.45345989606824
"HCN",0.620689655172414,0.269726204458478,1.8669148699783,0.272288655716663
"REGN",0.553742802303263,0.458328845867555,1.56671457280047,0.451512776239286
"DHR",0.572541382667965,0.206338721952541,1.49393004364069,0.270542293750741
"SCG",0.562433297758805,0.100591197543724,0.771197542050497,0.425626385694976
"PLD",0.581981981981982,0.365479154117789,1.95528761824164,0.240716288825223
"BXP",0.57243816254417,0.268264631646264,1.74398147986405,0.25739438246921
"CME",0.581993569131833,0.322941695998543,2.06549502184281,0.131966459105819
"AVB",0.608776844070962,0.324104768169176,2.1387459937121,0.263797580743455
"AEP",0.583957219251337,0.152148848109522,1.39666017547445,0.175550849517013
"EL",0.584305408271474,0.226613927930204,1.42833532994422,0.278592020191573
"PPL",0.587701612903226,0.173594198367947,1.50631666350071,0.213998370472774
"VTR",0.600184672206833,0.222866109570452,1.17919689937906,0.379519186247818
"CHRW",0.583489681050657,0.191056783023735,1.20125379041402,0.310622814748623
