"","WinTrade","AnnRetTrade","AnnSharpeTrade","MaxDDTrade"
"MAT",0.544117647058823,0.0542782249166821,0.270458038882265,0.666333624726014
"MSI",0.552954292084727,0.242970275387823,1.62894918437509,0.218385315966648
"XL",0.561128526645768,0.197982778692417,1.33037042078361,0.257625493632857
"EW",0.564482029598309,0.246742035340524,1.17018885384598,0.341550687689401
"AMZN",0.539047619047619,0.284032542894481,1.33266532593826,0.315974263384996
"NWL",0.547524752475248,0.130665080013309,0.66198204087909,0.444000676057195
"ROP",0.533658536585366,0.132802872590302,0.934424138324479,0.463707093351473
"HCP",0.551977920883165,0.0914626420752274,0.517448708197384,0.603390273108425
"BMY",0.53290676416819,0.0662919057430128,0.4057907093835,0.45918803378331
"NFLX",0.558764940239044,0.578913118482041,1.42846520747832,0.632517986670516
"EMN",0.544769085768143,0.207753892513385,1.03781950760758,0.463690860713925
"IP",0.554695062923524,0.281446336106233,1.5110304513041,0.302348717346553
"AMGN",0.501008064516129,0.0447458100213658,0.265582318726754,0.533412045791705
"HCN",0.574036511156187,0.169955209119211,1.18866974954517,0.318172451854677
"REGN",0.536468330134357,0.343025188122663,1.18138904507018,0.60582431791478
"DHR",0.528724440116845,0.115062937289606,0.838631134531574,0.344104649992647
"SCG",0.51974386339381,-0.00297754215824071,-0.0229312034124176,0.548281596517774
"PLD",0.558558558558559,0.269591685331999,1.45001018924145,0.31780543188856
"BXP",0.54416961130742,0.165916486801917,1.09880940075345,0.423012883098358
"CME",0.533762057877814,0.209675851041987,1.36031938554697,0.191133204761676
"AVB",0.564892623716153,0.21072191424896,1.41001363030044,0.383772307728617
"AEP",0.544385026737968,0.0573346646057553,0.531627631415073,0.311751699395912
"EL",0.551431601272534,0.118055136926883,0.751985856090855,0.491389126191666
"PPL",0.55241935483871,0.0869624297376678,0.757364699742909,0.264886959480283
"VTR",0.565096952908587,0.124595340319434,0.663112272481228,0.485051910566707
"CHRW",0.540337711069418,0.0757730383072181,0.479561460113531,0.492266600847017
"EIX",0.533466533466533,0.0980671271775026,0.743741958732668,0.206625540943365
"VNO",0.533658536585366,0.12543182407152,0.814250139732432,0.524688626065312
"TWX",0.545547594677584,0.163732935827826,1.04677338576648,0.287816153425406
"CI",0.548780487804878,0.206255778150181,1.1394988519645,0.340576987344879
"NEE",0.568052930056711,0.151863487765895,1.29731776664375,0.183515821150357
"D",0.5337361530715,0.044899313657073,0.405047777338657,0.383692724238216
"EXC",0.529880478087649,0.0887068931929725,0.65807867085514,0.322121335645724
"PSA",0.572265625,0.215878449688876,1.51044279254191,0.242360354106082
"DUK",0.516966067864271,0.0343122377944587,0.326966084340194,0.380061456098132
"SBUX",0.534101825168108,0.184313315551264,1.08643565391305,0.369619421511923
"MMC",0.532467532467532,0.131764055382855,1.01082086520635,0.164081956046738
"GRMN",0.542521994134897,0.252993561853423,1.23851762654778,0.404450340858191
"DGX",0.527372262773723,0.101376273734624,0.653303582977333,0.336807732591706
"GT",0.583665338645418,0.423201319863701,1.62978069978597,0.367439479878987
"SO",0.516536964980545,0.0138324454904263,0.143047790683889,0.316631973092227
"BMS",0.528925619834711,0.0691755339611287,0.531154507979542,0.434046624351907
"CELG",0.552380952380952,0.147159907650932,0.758104152399087,0.408934775329099
