"","WinTrade","AnnRetTrade","AnnSharpeTrade","MaxDDTrade"
"MAT",0.474559686888454,-0.110439212692077,-0.563774666251378,0.856988836940405
"MSI",0.486772486772487,0.0321288176976546,0.19627583620001,0.723809665544043
"XL",0.486577181208054,-0.000274178365415481,-0.00177611348019206,0.771192965227502
"EW",0.502918287937743,0.0148323470085861,0.0634910479488582,0.748484703347452
"AMZN",0.534791252485089,0.165628048926034,0.776267677373589,0.487471564557515
"NWL",0.497575169738118,-0.0241140648151333,-0.11356836227913,0.768624357685664
"ROP",0.525345622119816,0.0999573400494884,0.685520381789813,0.378998363890116
"HCP",0.507462686567164,-0.058547896335923,-0.314444715492223,0.842729239761242
"BMY",0.459876543209877,-0.173158751859647,-1.0208503369755,0.839989908059911
"NFLX",0.536157024793388,0.320016767728981,0.939183284974296,0.807904356496975
"EMN",0.519210799584631,0.0628377033499407,0.323323950951155,0.703393400377783
"IP",0.50269687162891,0.0630520757106683,0.334068660709803,0.773114555193277
"AMGN",0.510752688172043,0.0126316178482241,0.0773194279242501,0.528333629047972
"HCN",0.515181194906954,-0.0521916665466835,-0.334571498571757,0.715207344472844
"REGN",0.525024533856722,0.341632149539565,1.12552680611881,0.519596923785752
"DHR",0.472636815920398,-0.0220435666036171,-0.161114771162647,0.640813638362041
"SCG",0.459981600735971,-0.145254119246569,-1.04125584290904,0.815383422950955
"PLD",0.500477554918816,0.0630329360583603,0.333888608909439,0.729314166547094
"BXP",0.509396636993076,0.0427324889933798,0.291832517778407,0.677297949586355
"CME",0.482646420824295,0.0314046569564748,0.195312352229689,0.607505555652613
"AVB",0.516549648946841,0.0756881492919872,0.495443635152972,0.657992114778673
"AEP",0.515810276679842,-0.0224615699218165,-0.195637705345664,0.531119415567387
"EL",0.484526112185687,0.0268116285993324,0.146445881511316,0.758385410458044
"PPL",0.463054187192118,-0.136921144876741,-1.14290769278007,0.795036862422187
"VTR",0.510164569215876,-0.0571147094517542,-0.30910087824491,0.838793975808678
"CHRW",0.497457627118644,-0.054313186793781,-0.311071592956531,0.736815459870237
"EIX",0.486210418794688,-0.131662301770989,-0.973665258212618,0.801710648090612
"VNO",0.479651162790698,-0.0208177743897397,-0.130726177005421,0.800568209795573
"TWX",0.514342235410485,0.00946484244968409,0.0622984816167731,0.555596521810595
"CI",0.509641873278237,0.0703875071547085,0.387049835558003,0.620383763899383
"NEE",0.506572295247725,-0.0506205947610312,-0.434834710948516,0.666262244543138
"D",0.488488488488488,-0.0351039832444344,-0.303707501175222,0.544982897886312
"EXC",0.469767441860465,-0.105797515776384,-0.729202812925513,0.758376197712487
"PSA",0.5,0.00264882797331483,0.0178939999956724,0.727000217113983
"DUK",0.45668449197861,-0.107900666785181,-1.01607844752512,0.693196868771742
"SBUX",0.509366636931311,0.0495117005303891,0.275857096112333,0.555200373112448
"MMC",0.480909090909091,-0.0533645514422157,-0.402875796770543,0.65772951367493
"GRMN",0.508298755186722,0.0382757159631596,0.203985211993399,0.737682119396325
"DGX",0.499521531100478,-0.0463272481097085,-0.325486674205378,0.667524830610641
"GT",0.517169614984391,0.0770281698428968,0.311758182784932,0.783134788137824
"SO",0.424178154825027,-0.182095061750967,-1.92878102489318,0.816383809474635
"BMS",0.4853515625,-0.0450250255815923,-0.304202219013917,0.70458158794387
"CELG",0.512684989429176,0.0109931408256401,0.0541725485776828,0.635172638246822
"AEE",0.497029702970297,-0.0454527158807427,-0.360667583449533,0.635201434901614
"PFE",0.420454545454545,-0.145834742574879,-1.0936832117004,0.812754200212107
"AIV",0.510681586978637,0.0192073896488954,0.111389427268758,0.796045651512729
"CNP",0.451866404715128,-0.17597639628255,-1.2915637024429,0.838402906319393
"AON",0.483035714285714,-0.0523956105234451,-0.365406746912467,0.709199248248366
"FFIV",0.527065527065527,0.160800310593182,0.595574935825696,0.77596699036523
"MDT",0.493358633776091,-0.0794937731046216,-0.536880233687107,0.734863877581537
"PRGO",0.51098376313276,0.110428661668815,0.50978508374742,0.646121424550398
"BIIB",0.523311132254995,0.073852573449954,0.330465545609661,0.485945559148562
"EQR",0.503394762366634,0.0240153786252904,0.146856203213053,0.747674797780462
"PGR",0.458551941238195,-0.0951949151873297,-0.741545092493725,0.799507757086882
"NKE",0.497584541062802,0.00824667208918572,0.0475096481117855,0.593785379517259
"PAYX",0.498168498168498,-0.0553835421616619,-0.433416783370517,0.652242229493221
"JCI",0.483647175421209,-0.077656066144225,-0.50016607291429,0.798993957807841
"MON",0.474926253687316,0.0135290117505879,0.0753852617964008,0.727607781718061
"PNC",0.491771539206196,0.039698351009479,0.224134072606121,0.722334066765998
"XEL",0.490026019080659,-0.105180213376697,-0.846770709275633,0.704965934561191
"MO",0.500449236298293,-0.0223279058444785,-0.198500682435622,0.385025203245994
"SNI",0.484599589322382,-0.027971349602833,-0.168282309566252,0.780211602671996
"HSY",0.462962962962963,-0.0869083113069742,-0.692867369492511,0.787909664123847
"FOXA",0.494312306101344,0.044542448623872,0.228420635581736,0.651549167390408
