"","WinTrade","AnnRetTrade","AnnSharpeTrade","MaxDDTrade"
"MAT",0.513698630136986,0.0385304588544993,0.19685706319505,0.739681220050292
"MSI",0.523809523809524,0.142522576793368,0.87287479684104,0.572468585718975
"XL",0.54586129753915,0.137389322265288,0.890374426449314,0.521661132376858
"EW",0.532101167315175,0.117384346992881,0.504017889041951,0.633957974804158
"AMZN",0.548707753479125,0.230993398507094,1.08186661301184,0.353529149888531
"NWL",0.537342386032978,0.115685641710245,0.547728712222309,0.51809502495146
"ROP",0.546543778801843,0.177229772000124,1.22034278455931,0.256270587001556
"HCP",0.539947322212467,0.0759312012370856,0.409006275059256,0.708933731832549
"BMY",0.5,-0.0561909592324221,-0.333494291753632,0.710369483417982
"NFLX",0.555785123966942,0.454070823790446,1.32831640469773,0.681331914561381
"EMN",0.552440290758048,0.163886472887099,0.842505936216577,0.565197706367933
"IP",0.539374325782093,0.191492309321824,1.00732530876799,0.619822072838076
"AMGN",0.538709677419355,0.0922757523440246,0.565948062275541,0.389511462265165
"HCN",0.549461312438785,0.0543899355978448,0.351619629463851,0.5303727943613
"REGN",0.552502453385672,0.430297740488813,1.41165657079001,0.484254671046596
"DHR",0.509452736318408,0.0968566607549879,0.712602147748979,0.431420228488498
"SCG",0.499540018399264,-0.0447822904888811,-0.32350933474615,0.69580172654965
"PLD",0.534861509073543,0.19096125506492,1.01352998749905,0.498649499664365
"BXP",0.531157270029674,0.122298398343355,0.837088650293565,0.496011287369423
"CME",0.52060737527115,0.125523779001569,0.778493196966027,0.376499247667575
"AVB",0.530591775325978,0.145627006084482,0.95391937746579,0.508574011322532
"AEP",0.559288537549407,0.0818648903668151,0.721060334603692,0.296083958643503
"EL",0.515473887814313,0.130470323284219,0.711702817252011,0.651391420303653
"PPL",0.508374384236453,0.00581022099168351,0.0495916830657046,0.588883594175269
"VTR",0.537270087124879,0.0355818360353595,0.193292969186034,0.730918312816285
"CHRW",0.524576271186441,0.0319851059936831,0.183825190899249,0.587035308342338
"EIX",0.521961184882533,-0.0201340975449026,-0.150602392074215,0.634037650845556
"VNO",0.500968992248062,0.0662829104259024,0.41846845733939,0.683625110431358
"TWX",0.547972304648862,0.122631050959057,0.807906848781715,0.370637832002104
"CI",0.540863177226814,0.172427197372602,0.947467975039108,0.510455444212276
"NEE",0.542972699696663,0.0353726695396033,0.308113663882275,0.496457728623238
"D",0.524524524524524,0.060149049738347,0.527631602283502,0.328615820222976
"EXC",0.502325581395349,0.0102865820640369,0.0716775391521034,0.592437598884624
"PSA",0.526264591439689,0.0754162448809585,0.510717188825728,0.594482730533948
"DUK",0.499465240641711,-0.0148057735551384,-0.142157304273881,0.514709703439147
"SBUX",0.534344335414808,0.180563766244669,1.00581298371309,0.315777725084769
"MMC",0.530909090909091,0.0775555888728347,0.593325759846911,0.333429120214535
"GRMN",0.54253112033195,0.161396400109883,0.858907633249888,0.596900189294056
"DGX",0.526315789473684,0.0408526882715499,0.288921910685185,0.470992910300457
"GT",0.560874089490114,0.240940285659912,0.9680848775478,0.518416222028787
"SO",0.47507953340403,-0.0635142131970348,-0.695576836767064,0.623853797701594
"BMS",0.5341796875,0.0791956543664071,0.539099962742572,0.424259537504525
"CELG",0.540169133192389,0.114922370187072,0.566510659005589,0.517571744865877
"AEE",0.525742574257426,0.0732074952376511,0.58622635661439,0.413255146375536
"PFE",0.477272727272727,0.0248133875142628,0.188620496053698,0.562503352021729
"AIV",0.545269582909461,0.15148295003133,0.87645245209353,0.595435722130479
"CNP",0.521611001964637,0.0221782028505987,0.166516705021791,0.512041223091189
"AON",0.517857142857143,0.0454657750239377,0.320888680140985,0.493794201977012
"FFIV",0.546058879392213,0.240205117871148,0.888618384871899,0.647837648078639
"MDT",0.520872865275142,0.0169094221328133,0.114952806829554,0.558560858516983
"PRGO",0.5396370582617,0.195835154569019,0.90541479110749,0.566253377019917
"BIIB",0.54709800190295,0.158522214373726,0.7097800940142,0.415871015217441
"EQR",0.533462657613967,0.124497780655742,0.762955861967296,0.566453929785648
"PGR",0.519412381951731,0.0661487404918906,0.522760220085049,0.569325097979963
"NKE",0.53719806763285,0.134068075147269,0.775574424858002,0.360058287903122
"PAYX",0.529304029304029,0.0726775844840558,0.577627108924235,0.330121613321957
"JCI",0.521308225966303,0.0569621107517171,0.369802700913818,0.609612177761937
"MON",0.500491642084562,0.0991990647731794,0.553555756916599,0.603474354278505
"PNC",0.510164569215876,0.131589683238186,0.74285224226956,0.537668613986311
"XEL",0.537727666955768,0.0347068146455566,0.286075368120231,0.397845601910451
"MO",0.547169811320755,0.0971765890954969,0.883140431572669,0.165453720884234
"SNI",0.515400410677618,0.0615260276165609,0.371746173071534,0.641377072917697
"HSY",0.489711934156379,0.000380405630672902,0.00306124300907879,0.670266830250387
"FOXA",0.52947259565667,0.192690124621399,0.982485106799841,0.36918693619802
"KEY",0.561151079136691,0.253405911565439,1.1846091010385,0.539646715953074
"ABT",0.492693110647182,-0.0568740796007358,-0.447871909824239,0.623605314428785
"ALL",0.532355478861087,0.148620606942786,1.04486953188562,0.306492474636465
"ESS",0.527884615384615,0.071027136156881,0.48570041760304,0.629816656014791
"RSG",0.523452157598499,0.0701862745488663,0.587125661244544,0.45854506224042
"MDLZ",0.537634408602151,0.0157341535440701,0.112180873048208,0.498669697001138
"AFL",0.547717842323652,0.162947605597497,0.944425255758702,0.44609991386559
"AME",0.529294935451837,0.0866774245326312,0.545137236977216,0.499184404837119
"CCI",0.53391472868217,0.148031925955861,1.0236103772002,0.230705070596108
"BSX",0.510703363914373,0.150121216882405,0.722640712691219,0.424070916588786
"SRE",0.528492647058823,0.0495286927384388,0.407386675688317,0.424112757523113
"DTE",0.544517338331771,0.0355347489349779,0.305865471023404,0.393727467644267
"MET",0.515151515151515,0.121205033468184,0.602402138747229,0.694673679424022
"NRG",0.511247443762781,0.0421556369628267,0.175600255678904,0.747704525893459
"PBCT",0.50597609561753,-0.0358661706270915,-0.245581060313569,0.67797121237678
"VFC",0.519069767441861,0.124629887402627,0.728020203331862,0.519890736454844
"PNW",0.533724340175953,0.0572439238082613,0.479277414506679,0.389141608605765
"WEC",0.525731584258325,0.00240606206005127,0.0199144255496072,0.531291502540987
"USB",0.520295202952029,0.099221420385887,0.594471524836049,0.549925376962985
"CMG",0.529761904761905,0.125993041662348,0.533142746531049,0.772471397332688
"GPC",0.537974683544304,0.121301082146611,0.865844404273233,0.266860817498237
"WMT",0.510147601476015,0.0157691887872029,0.122202939278832,0.479928313391719
"ED",0.52306182531894,0.0336036066271702,0.334307655364617,0.35849417911075
"CINF",0.505119453924915,0.0542074183566795,0.378395222915767,0.527669019951557
"ECL",0.502873563218391,0.000335212309237007,0.00258926823857864,0.567271665701799
"BBT",0.52156862745098,0.0771618557485128,0.446677376465078,0.68711960651566
"UNM",0.528281750266809,0.141514214807908,0.804683371554645,0.475794862876313
"JNPR",0.531632653061225,0.109455393194357,0.442885088136965,0.726622252304016
"QCOM",0.531160115052733,0.0975390948989741,0.517084993534988,0.564302286691565
"ICE",0.529980657640232,0.209960151571033,1.20901975729393,0.32669074193028
"XRAY",0.516771488469602,0.0410710801540001,0.278599481871006,0.516399070531193
"NI",0.534990791896869,0.0874093948428058,0.626120225192088,0.387333748826618
"MMM",0.516651665166517,0.0479124603798654,0.38113678109007,0.429598951632431
"HRS",0.544840887174542,0.0979746924901339,0.601066129948962,0.516312695585442
"CA",0.517452006980803,0.00737498193462813,0.042847708463653,0.699989040587236
"DPS",0.531693472090823,0.0978785871773668,0.709845643904807,0.530592791839232
"HUM",0.526561043802423,0.158545224607023,0.793739935378738,0.41021781382269
"SNA",0.538461538461538,0.138565221802294,0.80826215744176,0.417245483420435
"SRCL",0.540354330708661,0.018681988927717,0.126370992927997,0.672378659255802
"AIZ",0.518824609733701,0.122402585316064,0.796000456135181,0.424174002594583
"CL",0.479047619047619,-0.0573122415221436,-0.476293424743818,0.65536388034263
"CTL",0.485549132947977,-0.0745050117025676,-0.417851140337718,0.81954664920428
"PDCO",0.527831094049904,0.0203057248721551,0.132536882388063,0.57148938231956
"COL",0.505736137667304,0.0713804460495228,0.475011693642394,0.529139347192394
"PEG",0.536231884057971,0.0767797318328092,0.580258900973717,0.398023956968798
"SYMC",0.533201189296333,0.117185515869905,0.591631044171956,0.507129718104323
"AMT",0.54775828460039,0.138509764272563,0.958674533945185,0.374881883977613
"TIF",0.547304170905392,0.123258108612035,0.588190723665719,0.734949059993306
"HRL",0.538690476190476,0.0662364807799206,0.501969440529423,0.362127842896781
"IFF",0.515845070422535,0.0854955309604096,0.542215009992964,0.446601035674844
"FIS",0.529307282415631,0.113646381528206,0.686918362087144,0.439552029788979
"NDAQ",0.537393162393162,0.145979086797085,0.903494064991987,0.390338377250034
