"","WinTrade","AnnRetTrade","AnnSharpeTrade","MaxDDTrade"
"MAT",0.550863723608445,0.16656038617804,0.83540663892574,0.58395522123178
"MSI",0.546934865900383,0.259543881117743,1.61347736795638,0.25791013726796
"XL",0.544827586206897,0.133789560821312,0.782683742768529,0.601157747819017
"EW",0.565740740740741,0.25903026887341,1.21166990339714,0.305158475593636
"AMZN",0.562926829268293,0.351625850694541,1.49888040373609,0.30101598786678
"NWL",0.547041707080504,0.21610201638258,1.133667357103,0.405137368082162
"ROP",0.566205533596838,0.200745387077759,1.37561118803122,0.187454472714079
"HCP",0.562385321100917,0.147051054856599,0.814685726073799,0.489393235250174
"BMY",0.523107177974435,-0.0108098609521458,-0.0652904234125044,0.657766074702848
"NFLX",0.545941123996432,0.615097731242698,1.48997705159156,0.616533327667422
"EMN",0.535211267605634,0.146502317593969,0.71258830480054,0.535405350454282
"IP",0.541984732824427,0.268368187102321,1.42711864768933,0.456625433449263
"AMGN",0.532352941176471,0.111805834952821,0.648509166062802,0.42074340802682
"HCN",0.572595281306715,0.139446074409154,0.878232770465912,0.435580243784019
"REGN",0.523118766999093,0.409388121766859,1.34486242210337,0.536675962260232
"DHR",0.526070763500931,0.114474681776508,0.767074818057213,0.351616094468782
"SCG",0.538315988647114,0.0504800880217707,0.382583541861186,0.439659991132116
"PLD",0.569664902998236,0.292448101212729,1.60061540958762,0.255647935293737
"BXP",0.552399608227228,0.197957221157916,1.2885726924667,0.353848798153663
"CME",0.536862003780718,0.148962615360917,0.895139164935416,0.409443744220752
"AVB",0.555938037865749,0.220721302202919,1.38800215261171,0.351509878989098
"AEP",0.577374599786553,0.0692498999346192,0.630523240644859,0.309062931079592
"EL",0.533215234720992,0.232686325914656,1.19156840142914,0.346164269345626
"PPL",0.54384328358209,0.0585605158957531,0.470608401129494,0.418578529304041
"VTR",0.56988188976378,0.189232544187471,1.14946739145265,0.304594050732808
"CHRW",0.538681948424069,0.0534745917322274,0.31355397153313,0.573081680687088
"EIX",0.531340405014465,0.0803205902041128,0.677859288917443,0.328075263288789
"VNO",0.548802946593002,0.204529873582702,1.2235860856076,0.271044666965853
"TWX",0.547328959700094,0.150738688727313,0.928752483413279,0.441593838175862
"CI",0.564632885211996,0.245697683707228,1.50221455299672,0.305294276679958
