"","WinTrade","AnnRetTrade","AnnSharpeTrade","MaxDDTrade"
"MAT",0.593629343629344,0.289265978846707,1.44586614845213,0.404429070513466
"MSI",0.589320388349515,0.377268587095188,2.31392004916345,0.194864495633068
"XL",0.581188118811881,0.246760282689279,1.42351761017525,0.32540249251416
"EW",0.591666666666667,0.371584123873805,1.73032776846106,0.293536423569124
"AMZN",0.592375366568915,0.469442619318899,1.98618496773215,0.253920378016284
"NWL",0.578536585365854,0.330878722428195,1.7272882641573,0.329572492627435
"ROP",0.618577075098814,0.317960957900899,2.16739951252729,0.172372864122279
"HCP",0.603495860165593,0.26663180563918,1.46523991438952,0.297382436564275
"BMY",0.577075098814229,0.114802787050936,0.690648665738456,0.381966974191418
"NFLX",0.5625,0.743887618609968,1.79263045198273,0.560186311701963
"EMN",0.568609022556391,0.267590471992246,1.29294560175579,0.364720522187491
"IP",0.582375478927203,0.399451016123999,2.09739567646499,0.271714675951226
"AMGN",0.57156862745098,0.225791787243299,1.30150711062549,0.312403881272786
"HCN",0.619744058500914,0.259679219629793,1.62491838427168,0.287268640602885
"REGN",0.556766575840145,0.537316969219436,1.7501925655271,0.466792739172416
"DHR",0.586529466791394,0.235671051202386,1.56995253254258,0.298217138392255
"SCG",0.581042654028436,0.17106720172623,1.29280150008675,0.234911752095568
"PLD",0.605146406388642,0.419781457421838,2.28441852041194,0.215321581793239
"BXP",0.597249508840864,0.319055107416596,2.05507037664954,0.223236558517361
"CME",0.578997161778619,0.273347028773406,1.62464618377384,0.206110079113127
"AVB",0.594664371772806,0.341781812012437,2.13230886949291,0.194162660174344
"AEP",0.623126338329764,0.176343027143228,1.59885670502088,0.150225195059235
"EL",0.568383658969805,0.349958749605257,1.78368479314234,0.242180938562335
"PPL",0.597378277153558,0.177487452655553,1.41381864896035,0.295521584136467
"VTR",0.613412228796844,0.294706885244182,1.78086158719711,0.250360723032872
"CHRW",0.597115384615385,0.173507977543921,1.01729012915527,0.36665079142261
"EIX",0.587778855480116,0.206025039749609,1.72043619197035,0.180452285371572
"VNO",0.589318600368324,0.325434992684338,1.92590185643972,0.197470396367252
"TWX",0.589285714285714,0.26832232704077,1.63725385793328,0.304003098080793
"CI",0.606846473029046,0.364617138020784,2.20469317631821,0.263973989881537
"NEE",0.606782768102658,0.253348729283658,2.18414175234881,0.105716451485613
