"","WinTrade","AnnRetTrade","AnnSharpeTrade","MaxDDTrade"
"MAT",0.552925706771861,0.183196441227593,0.737213964180841,0.644518722513657
"MSI",0.549031121550206,0.334813297998798,1.680614359211,0.23085952823
"XL",0.559127439724455,0.291082763178656,1.35214431556984,0.263481856382441
"EW",0.559974342527261,0.328327168703996,1.16538342332916,0.497160254650721
"AMZN",0.560168471720818,0.514908783465025,1.81138758059956,0.305344572323
"NWL",0.545890821835633,0.330590670306022,1.3879940133425,0.441516253996079
"ROP",0.571584699453552,0.35083377609669,1.79990314385767,0.25291298323938
"HCP",0.572123176661264,0.240352345722074,1.05577682471113,0.442180146730522
"BMY",0.555680539932508,0.251605486000192,1.17877029356653,0.381844423802517
"NFLX",0.567046450482033,0.768362950027619,2.19323018366523,0.359105005523591
"EMN",0.558741258741259,0.315277792514004,1.41112790203604,0.376679634106522
"IP",0.555045871559633,0.420674478503852,1.78849495093332,0.297412236930163
"AMGN",0.551608579088472,0.257983925840136,1.28086143064894,0.25573324253242
"HCN",0.579045257284563,0.270900295108336,1.4288052873928,0.317906863036911
"REGN",0.56986301369863,0.629381877213963,1.81974547503691,0.392842710283212
"DHR",0.542222222222222,0.326063606654881,1.26380659517061,0.274554423506919
"SCG",0.539962240402769,0.135917433256226,0.841717214792396,0.414420452548432
"PLD",0.562156215621562,0.37851329264283,1.59410547122916,0.386175289145494
"BXP",0.562939297124601,0.307269328773196,1.69364656579428,0.241926381988863
"CME",0.558694287507847,0.354463066822414,1.76238782293364,0.295209353132955
"AVB",0.571345029239766,0.328840218351985,1.72556277823804,0.206495115058326
"AEP",0.577060931899642,0.218998725643352,1.53484834328716,0.17022782130365
"EL",0.548924358084663,0.286655690218968,1.37147697475839,0.264931608470396
"PPL",0.556058890147225,0.177099382523811,1.1850126676541,0.219005803528266
"VTR",0.582167832167832,0.248450636716099,1.11649733618454,0.456112550437071
"CHRW",0.564132327336042,0.212170175557815,1.05331828761868,0.277654857803314
"EIX",0.554384017758047,0.214482694024568,1.25800209714823,0.211835133600585
"VNO",0.55425219941349,0.286074533493019,1.47006153748108,0.284251376398924
"TWX",0.557600950118765,0.306908540845042,1.58742438311499,0.309987694091822
"CI",0.568880688806888,0.406495742606509,1.83599233113278,0.26394536015357
"NEE",0.582529474812433,0.30238689389885,1.96325461903492,0.139763612063515
"D",0.559190957763236,0.224785236522588,1.57596476777211,0.161052700284637
"EXC",0.544034090909091,0.130750808336105,0.772040770993739,0.414601612186988
"PSA",0.567887931034483,0.331776326948792,1.74559115745629,0.25774545507403
"DUK",0.558202490525176,0.196376758123243,1.38562301847713,0.230800154367552
"SBUX",0.551601423487544,0.338918744215277,1.58866218517104,0.297997830829207
"MMC",0.557962529274005,0.268857612319715,1.67552132039684,0.182771878567749
