"","WinTrade","AnnRetTrade","AnnSharpeTrade","MaxDDTrade"
"MAT",0.54405737704918,0.105134461994684,0.497740439715059,0.624501744305815
"MSI",0.564334085778781,0.249715929583791,1.60467727501297,0.326913865058355
"XL",0.583756345177665,0.283997171254771,1.71218695590157,0.192451334810536
"EW",0.565400843881857,0.229854604391549,1.10477437484939,0.331438480275522
"AMZN",0.569560047562426,0.265259578883568,1.18360149897979,0.430024687856564
"NWL",0.563672260612043,0.257905294793624,1.34809529821732,0.278205099374651
"ROP",0.569605568445476,0.164457062183831,1.17715494711099,0.259340422592078
"HCP",0.555223880597015,0.158228165139842,0.874549322037,0.530885943382447
"BMY",0.544776119402985,0.0364540920687962,0.215096424827248,0.515093750791122
"NFLX",0.575482406356413,0.677628903269565,2.06627501475936,0.44167457312219
"EMN",0.593635250917993,0.220225899144245,1.24832657971804,0.486715343529122
"IP",0.561824729891957,0.31243759519623,1.61922166972946,0.254161606878276
"AMGN",0.559498956158664,0.147428603984646,0.847987341693117,0.289507540004778
"HCN",0.570539419087137,0.11707855168126,0.79037684423874,0.382299681456436
"REGN",0.554311310190369,0.431005650743101,1.45509045629354,0.465314180604026
"DHR",0.548553719008264,0.16961218169916,1.14746906441529,0.247620912898562
"SCG",0.535514018691589,0.0762072108807386,0.561101465138139,0.28019870687078
"PLD",0.559082892416226,0.246668436544757,1.28597607995463,0.432697825490478
"BXP",0.548812664907652,0.194961693197882,1.17448511473575,0.359227912544077
"CME",0.594395280235988,0.24265912658958,1.56003897518052,0.147302206434334
"AVB",0.576822916666667,0.22689019344534,1.61788943828863,0.269920748104819
"AEP",0.573580533024334,0.130079219854172,1.14373191391339,0.168484792529145
"EL",0.551901336073998,0.239370828954002,1.30674659573909,0.222535396471408
"PPL",0.545157780195865,0.0765279586002049,0.702190241219183,0.338568288989603
"VTR",0.573359073359073,0.170183629767309,0.906743450626276,0.473143712500376
"CHRW",0.554067971163749,0.136107451605527,0.91225888306845,0.275955922264878
"EIX",0.552845528455285,0.13320103505342,0.887633895881277,0.275326421703531
"VNO",0.549234135667396,0.122238042866133,0.793774804287227,0.591693594550367
"TWX",0.561487130600572,0.162218629597008,0.935214080619809,0.334803682378069
"CI",0.565371024734982,0.280125428567721,1.3958274368514,0.262737795016955
"NEE",0.574723247232472,0.174742644839667,1.49184330734519,0.114418323275838
"D",0.558115183246073,0.142903432779187,1.33748752108351,0.233269508925553
"EXC",0.521535580524345,0.0805106808682754,0.575322632755108,0.435298341003434
"PSA",0.596590909090909,0.240142649876243,1.70488033653537,0.196782487999289
"DUK",0.551454138702461,0.0659294398948128,0.646337023768686,0.226732366814304
"SBUX",0.566176470588235,0.204761922515006,1.22300065598999,0.310232530548979
"MMC",0.545691906005222,0.166021904118653,1.18461402718549,0.22260482961393
"GRMN",0.541142303969022,0.234705711214074,1.21154458880864,0.518772436126913
"DGX",0.556461001164144,0.0998896692334604,0.753531833529524,0.337640528670044
"GT",0.55448717948718,0.22518834099463,0.933358310298432,0.685996983301636
"SO",0.548235294117647,0.0401233980741653,0.453490573025413,0.311812316594719
"BMS",0.583769633507853,0.168944756916522,1.33701662620849,0.226088948876355
"CELG",0.550233644859813,0.136031723246174,0.667268062776088,0.488739512558561
"AEE",0.546967895362664,0.0794523618792773,0.695973962046372,0.313145741114271
"PFE",0.530878859857482,0.100685383268047,0.855501852492756,0.384100492599256
"AIV",0.571705426356589,0.314506436787368,1.87617392501861,0.342177659456675
"CNP",0.545210384959714,0.148395826792492,1.01970506761731,0.244740864872358
"AON",0.555434782608696,0.131398761202251,0.993176335681167,0.199523269843334
"FFIV",0.561810154525386,0.262620442875777,0.985096246863791,0.681565415024818
"MDT",0.548086866597725,0.103798326681443,0.723757430849196,0.28078379164833
"PRGO",0.568648648648649,0.192132140379862,0.852927316871686,0.546690547042874
"BIIB",0.573714285714286,0.244847134133684,1.14927451065464,0.24218185708796
"EQR",0.565425023877746,0.219160632006561,1.32758284069641,0.295998030988667
"PGR",0.547034764826176,0.168080795586589,1.31211285594228,0.264889248247286
"NKE",0.550200803212851,0.127403198681725,0.76515624462608,0.35068705258265
"PAYX",0.55087358684481,0.106793177600937,0.859715041300629,0.354656079987469
"JCI",0.559652928416486,0.161842217739517,1.03059999399153,0.436558714969457
"MON",0.543610547667343,0.230901110815613,1.40979416427872,0.28099100135394
"PNC",0.57051282051282,0.225835749669515,1.30207368861466,0.288700367954032
"XEL",0.566115702479339,0.105104820051827,1.00624736100387,0.229620818675234
"MO",0.573883161512027,0.0944478438748672,0.9623844833906,0.310228295751956
"SNI",0.562571756601607,0.145462006975949,0.877807930865195,0.379663582410321
"HSY",0.537328094302554,0.0971547479598768,0.772865884060946,0.371818165044875
"FOXA",0.562428407789233,0.277630966491973,1.48248677954534,0.401458673172826
"KEY",0.616264294790343,0.362738978591428,1.68953485423828,0.291090244897048
"ABT",0.547149122807018,0.09398582456769,0.697825404722682,0.379037375551211
"ALL",0.568627450980392,0.173521921390681,1.3360088909782,0.331400967054141
"ESS",0.573333333333333,0.159189761686873,1.22442622642151,0.423185413936668
"RSG",0.572769953051643,0.157763639336692,1.34981648581127,0.237380300342903
"MDLZ",0.553709856035437,0.115662734097072,0.90988715393361,0.212233243771378
"AFL",0.570446735395189,0.190726798714165,1.01117765067794,0.524782772811316
"AME",0.569832402234637,0.186859356114435,1.07591980111403,0.326775983531269
"CCI",0.578140960163432,0.259096669615697,1.81614887378495,0.147240967387717
"BSX",0.54390243902439,0.344558336572887,1.48137046052179,0.230785104637142
"SRE",0.55421686746988,0.134484539679236,1.04512130602341,0.17787565112945
"DTE",0.559481743227326,0.134508368712715,1.3088438767404,0.206933407851699
"MET",0.575826681870011,0.258638869216452,1.31525426251203,0.372304157130449
"NRG",0.541129831516353,0.194347718345818,0.696982633346998,0.708637389028461
"PBCT",0.571596244131455,0.119790751819861,0.862699488059873,0.191408134397265
"VFC",0.546549835706462,0.22653445098639,1.44171600989305,0.21081447289499
"PNW",0.547254725472547,0.145659557931514,1.2341529291049,0.213395542511302
"WEC",0.580962800875274,0.12006023835329,1.0837589013068,0.221383532665193
"USB",0.574675324675325,0.239296938107439,1.5392723657739,0.2619850476052
"CMG",0.550961538461539,0.249492117549831,1.08680398827856,0.676285805591538
"GPC",0.588822355289421,0.214461729874029,1.52601769785207,0.200974261657058
"WMT",0.537854889589905,0.0828548063856177,0.640696809494057,0.359696765517842
"ED",0.572666025024062,0.0949367635773856,0.920002175515077,0.257054790806928
"CINF",0.562022900763359,0.170445146947524,1.31102421291053,0.224560497822836
"ECL",0.540633019674936,0.148396256980417,1.10912394444993,0.24351564919952
"BBT",0.576288659793814,0.231937668180655,1.2877317471296,0.315325707451639
"UNM",0.55995599559956,0.157336792749854,0.852881453426433,0.533042011940946
"JNPR",0.555917480998914,0.138593025179094,0.616486587264119,0.716788213516662
"QCOM",0.569684638860631,0.164753047250313,0.90729286759271,0.373497677484117
"ICE",0.546925566343042,0.239723306761879,1.48405567465969,0.265597250751947
"XRAY",0.541489361702128,0.134533088148309,0.931606944713954,0.224169297349429
