"","WinTrade","AnnRetTrade","AnnSharpeTrade","MaxDDTrade"
"MAT",0.495519713261649,-0.0206053520443965,-0.0944512524287369,0.785547785612105
"MSI",0.506666666666667,0.0923671631275036,0.557405156661502,0.59831744127328
"XL",0.53259779338014,0.103331211652274,0.625386433458089,0.554951456897592
"EW",0.511494252873563,0.0265860598700464,0.11026535413824,0.756275017955483
"AMZN",0.533970276008493,0.177679139896745,0.820976897637742,0.469093044566519
"NWL",0.480276134122288,-0.0572173185375947,-0.258476402820935,0.845090059610352
"ROP",0.517552657973922,0.0853335459089376,0.554251820218035,0.459988745215145
"HCP",0.508635578583765,-0.0436370860866892,-0.229927587459838,0.830664337131061
"BMY",0.471414242728185,-0.150191125172861,-0.892279752710216,0.834122624280421
"NFLX",0.528616024973985,0.298038352348363,0.860971705934452,0.791537750061942
"EMN",0.5299055613851,0.115705725599368,0.604069344030576,0.520607031325527
"IP",0.530334728033473,0.112098879788205,0.54940442306198,0.711333704260509
"AMGN",0.508021390374332,0.0917643882257974,0.560100198626055,0.360687613575888
"HCN",0.52089407191448,-0.069171992639344,-0.454661213292981,0.782922108402984
"REGN",0.499474237644585,0.269970625764389,0.891324338920401,0.78124988303826
"DHR",0.465336134453782,-0.0358620581137917,-0.255848322080041,0.716946464466639
"SCG",0.472055888223553,-0.111258275010676,-0.814804918926345,0.788243433689083
"PLD",0.527589545014521,0.130745191983764,0.668496856297658,0.635498090284529
"BXP",0.520283975659229,0.0889257096469381,0.572628485316112,0.604065004059844
"CME",0.477644492911668,0.00537642277370906,0.0321616874162764,0.741325480345656
"AVB",0.506769825918762,0.0666918272204002,0.418860751523335,0.734706208631717
"AEP",0.505699481865285,-0.0362619955062711,-0.312671409076268,0.613747407303674
"EL",0.491452991452991,0.0453326595752254,0.268733690669393,0.703489042114539
"PPL",0.478260869565217,-0.147291494629357,-1.24261254473103,0.826841889549871
"VTR",0.529411764705882,0.0379675938307207,0.205773018854241,0.733661241554705
"CHRW",0.519267822736031,0.0528402810932773,0.342662775574126,0.501883223845844
"EIX",0.503006012024048,-0.0777850840689809,-0.586098122363525,0.732982995502338
"VNO",0.500544069640914,0.0385365698314787,0.256427727621698,0.713752500446906
"TWX",0.510373443983402,0.0204195360598995,0.11745370540088,0.611411545919336
"CI",0.545641025641026,0.210605104073894,1.23438025906326,0.261431871414247
"NEE",0.523452157598499,-0.015484481118382,-0.130280938005427,0.619765937162691
"D",0.491323210412147,-0.0168435187202446,-0.158512426573461,0.525997727469071
"EXC",0.458870168483647,-0.147195044041181,-1.04100284507221,0.842425768634314
"PSA",0.536072144288577,0.113970307072477,0.78707228193167,0.481276276592447
"DUK",0.458374142997062,-0.112188546084268,-1.03910335675389,0.746741350903339
"SBUX",0.507936507936508,0.0824595086207215,0.474780561042549,0.622016490356029
"MMC",0.492492492492492,-0.00926652247361178,-0.0732535587310328,0.599637877653603
"GRMN",0.502338634237605,0.0843424099195058,0.433717033349528,0.682761213166165
"DGX",0.486071085494717,-0.0471036242131954,-0.329033591941207,0.696792196041272
"GT",0.518913676042677,0.0552977238693057,0.206901494660565,0.847565286748862
"SO",0.45658835546476,-0.1413008114627,-1.44987444848484,0.76534280131529
"BMS",0.499521531100478,0.00455219391424689,0.0333845228196768,0.621311065790402
"CELG",0.508611955420466,0.0613968915731784,0.283044907497982,0.533651439925265
"AEE",0.497946611909651,-0.0602455137209596,-0.487950596818213,0.69239948273068
"PFE",0.438063063063063,-0.116662965274613,-0.945288651084589,0.801866500628577
"AIV",0.523277467411546,0.145436881522476,0.827402806228006,0.555216073409162
"CNP",0.467881112176414,-0.0995950690504956,-0.716132569855145,0.730044347312973
"AON",0.490291262135922,0.0227528660893771,0.168570968300991,0.512697185955538
