"","WinTrade","AnnRetTrade","AnnSharpeTrade","MaxDDTrade"
"MAT",0.588288288288288,0.310577552855481,1.40843370242873,0.357875978838131
"MSI",0.610591900311526,0.37594038005244,2.25256510976098,0.233332630189822
"XL",0.623612512613522,0.406766880087452,2.41937162033226,0.199716544934127
"EW",0.584851390220518,0.297517845417385,1.2334687004608,0.512316863062386
"AMZN",0.599786552828175,0.400810052859389,1.83989883622785,0.236648008444073
"NWL",0.591633466135458,0.274644146063208,1.24694264453756,0.382754690488767
"ROP",0.61283851554664,0.332079301987568,2.13582047755999,0.205762553220422
"HCP",0.603119584055459,0.277838001715842,1.46588909927821,0.361273979320883
"BMY",0.576767676767677,0.150715769740072,0.895822077897549,0.435164235833316
"NFLX",0.581685744016649,0.605567202102612,1.73057626804471,0.561837678885221
"EMN",0.615546218487395,0.379052356687595,1.95242628205384,0.213046432384918
"IP",0.595811518324607,0.41142748913045,1.9960467986651,0.274510345056734
"AMGN",0.59914255091104,0.354306856297736,2.14031338709358,0.136366528100635
"HCN",0.62280701754386,0.221555394317524,1.44700017971726,0.261379896231933
"REGN",0.556842105263158,0.514806296351466,1.67829576144885,0.609466271161556
"DHR",0.60126582278481,0.271376486476929,1.94010332347863,0.221050147969147
"SCG",0.584,0.169103096224698,1.24694906482852,0.347604173648309
"PLD",0.60916179337232,0.424627938384948,2.14340158401341,0.333591948184929
"BXP",0.593908629441624,0.340348097186155,2.16601470822994,0.17252927872768
"CME",0.581420765027322,0.273595848643639,1.62631604757619,0.249953074379245
"AVB",0.588007736943907,0.307204481426544,1.92053165355828,0.203796265650848
"AEP",0.639207507820647,0.253095610277426,2.20120022157823,0.131044636587155
"EL",0.580021482277121,0.305818890926116,1.79060577936671,0.231643268954863
"PPL",0.593385214007782,0.172298588703575,1.47052286597956,0.188522512521125
"VTR",0.614687216681777,0.323429651886023,1.75130862626448,0.404116318580388
"CHRW",0.615533980582524,0.320156749654073,2.06246017197025,0.145648628964802
"EIX",0.605846774193548,0.198335067071153,1.50944747998358,0.187007694310117
"VNO",0.596300326441785,0.292675786207922,1.92256691559972,0.246668185216171
"TWX",0.610416666666667,0.295010200025413,1.68147680460656,0.252030814676895
"CI",0.608427543679342,0.477683093897718,2.75219086280119,0.148503773764371
"NEE",0.618062088428975,0.239549439992903,2.00298806896843,0.146255842491874
"D",0.615468409586057,0.248516462289696,2.33858496573029,0.0966035682330791
"EXC",0.548804780876494,0.126011856008201,0.903623730698996,0.375678331998934
"PSA",0.617853560682046,0.350639697855489,2.39442454167375,0.198357472950625
"DUK",0.584325396825397,0.153599839668724,1.42815387965918,0.283622223453179
"SBUX",0.593625498007968,0.390277073934203,2.21819718128472,0.182449903581898
"MMC",0.616935483870968,0.297266681359861,2.36081895405721,0.136731202743548
"GRMN",0.588846880907372,0.37457946623725,1.90980406496131,0.277860836262735
"DGX",0.592664092664093,0.213384482790682,1.50573198114789,0.167587949561003
"GT",0.575462512171373,0.390726599259903,1.44752139567368,0.476282561931003
"SO",0.614432989690722,0.163749334807405,1.72267924138672,0.177586692113119
"BMS",0.611538461538462,0.301959979407992,2.20014937304081,0.186711364033619
"CELG",0.598577235772358,0.344247141983184,1.58116599758448,0.372020471425842
"AEE",0.607476635514019,0.235397024539266,1.90047036474196,0.18972448718867
"PFE",0.578587699316629,0.225096477163754,1.79952734299,0.285209738148912
"AIV",0.611898016997167,0.466384612905776,2.63682808077805,0.16017351359139
"CNP",0.604247104247104,0.285253167320169,2.06427874630963,0.123780948845692
"AON",0.608993157380254,0.276057356679513,2.06806956893993,0.205239940735449
"FFIV",0.583793738489871,0.396393725065322,1.37839677543738,0.519242704529916
"MDT",0.592885375494071,0.206339305530426,1.40136824600125,0.210394469600142
"PRGO",0.595573440643863,0.341999791186585,1.52655665131153,0.409907420283553
"BIIB",0.6,0.326743556156575,1.4747823023957,0.40677814833988
"EQR",0.596789423984891,0.334695521430465,2.02246432531804,0.217114321604921
"PGR",0.597969543147208,0.290336679092316,2.04023359559577,0.14236228491181
"NKE",0.608163265306122,0.31140502600564,1.89368005969091,0.251113945799581
"PAYX",0.591485507246377,0.244003006593292,1.79103234488655,0.229638877995979
"JCI",0.595427435387674,0.291960080855964,1.79064372354091,0.227083515384091
"MON",0.584062196307094,0.335041989490142,1.88384324477658,0.250263954289894
"PNC",0.587659157688541,0.340811304460911,1.91565942806663,0.182939142552586
"XEL",0.627,0.277617926050339,2.58699658602669,0.0926858581395333
"MO",0.626121635094716,0.20929119371747,1.94683646550498,0.146871333615711
"SNI",0.601,0.304219022750639,1.63175882253185,0.2639144810043
"HSY",0.581611570247934,0.219907464861508,1.57876161809147,0.23793091875519
"FOXA",0.583838383838384,0.374989578581939,1.86528467341455,0.407465316409904
"KEY",0.608187134502924,0.473252455153143,2.10413519004777,0.258598012132055
"ABT",0.590766002098636,0.192240183284037,1.45291587894524,0.178432549266345
"ALL",0.610062893081761,0.320137446166166,2.2729093501555,0.219831664898833
"ESS",0.613124387855044,0.281172661766885,1.9528817496703,0.291506682026184
"RSG",0.6252408477842,0.292753580837781,2.19802401158146,0.29901512341662
"MDLZ",0.590304182509506,0.248202770927446,1.79641358450851,0.149556965991237
"AFL",0.59877800407332,0.297604290884787,1.62377824583246,0.322631257728384
"AME",0.606752730883813,0.280291023743957,1.62216402668916,0.269901609506552
"CCI",0.584905660377358,0.261807189954527,1.78898775317158,0.278642955541079
"BSX",0.592632719393283,0.435795714808569,2.12079457978309,0.169799356804925
"SRE",0.614345114345114,0.236248274494809,1.93212770595561,0.138127734652243
"DTE",0.617245005257624,0.225706610201279,2.02571570175328,0.18542635763751
"MET",0.5850622406639,0.365183974823923,1.74307746061318,0.25669686170419
"NRG",0.570281124497992,0.203132838086528,0.799813705810055,0.648701780847754
"PBCT",0.594005449591281,0.200753410606696,1.33167914041521,0.195473239724706
"VFC",0.565582371458552,0.255611799112471,1.50703157233913,0.307700153406267
"PNW",0.602711157455683,0.225780703220265,1.95335117223481,0.117258274207745
"WEC",0.612640163098879,0.189281693722775,1.59308561041515,0.161754312528328
"USB",0.606505771248688,0.342188326593396,2.15300756424786,0.182555483429222
"CMG",0.589320388349515,0.40244894946257,1.67763796561576,0.347093134894223
"GPC",0.604807692307692,0.255611187978943,1.74393304246568,0.246560937117092
"WMT",0.599615014436959,0.17169460154463,1.42015608848669,0.270811322069237
"ED",0.617647058823529,0.220632685483388,2.20985043976281,0.13349292711872
"CINF",0.606268364348678,0.283352827164591,2.00494851474429,0.202051314985073
