"","WinTrade","AnnRetTrade","AnnSharpeTrade","MaxDDTrade"
"MAT",0.551632245169887,0.167241129476142,0.689730971825923,0.664687501982377
"MSI",0.547703180212014,0.313419779638833,1.59118250069089,0.32146052644862
"XL",0.558620689655172,0.289854175236741,1.41667593434921,0.284746764414786
"EW",0.561598951507208,0.311596153884792,1.11895657549367,0.472961804772395
"AMZN",0.556505803298717,0.450040703100889,1.58615293926248,0.386596722352743
"NWL",0.542719614921781,0.317730649894047,1.32200907188732,0.441516253996079
"ROP",0.567582417582418,0.33223418445144,1.71320796954065,0.252912983239381
"HCP",0.569421934089681,0.231343730308748,1.01958287901352,0.442180146730522
"BMY",0.553469852104664,0.240954798314053,1.13578972226682,0.384480766861397
"NFLX",0.565293602103418,0.683027882598092,1.97947505025355,0.351342231307013
"EMN",0.556204379562044,0.285141351670708,1.29745953390194,0.376679634106523
"IP",0.550980392156863,0.393385422848509,1.6643161511489,0.297412236930163
"AMGN",0.546118115461181,0.251582223045696,1.22811460572658,0.273749617050669
"HCN",0.571075401730532,0.249198727164033,1.31523704867995,0.317906863036911
"REGN",0.550644567219153,0.542676665379227,1.59150166371626,0.388452968500683
"DHR",0.5410549211528,0.316611128350572,1.22383806068968,0.274554423506919
"SCG",0.53341820496499,0.135572348303924,0.874817569562377,0.318561440068993
"PLD",0.560906515580737,0.385148935310039,1.64071929210597,0.386175289145494
"BXP",0.548220064724919,0.268653435755719,1.48644575037031,0.241926381988863
"CME",0.552819183408944,0.348711717300897,1.81269344668884,0.174431236880433
"AVB",0.567761194029851,0.313283612905922,1.66444160979313,0.199997239695888
"AEP",0.574671445639188,0.212403060750139,1.48893315978982,0.17022782130365
"EL",0.541755888650964,0.250582928797577,1.23308942619064,0.376185312696982
"PPL",0.554617117117117,0.172666641204961,1.13991943095836,0.219005803528265
"VTR",0.571595558153127,0.217011016233406,0.975164413278643,0.504068653218174
"CHRW",0.559468822170901,0.194175911679932,0.953790075602585,0.30649838948805
"EIX",0.550510783200908,0.202756669691909,1.21781120636901,0.183551730909848
"VNO",0.544213649851632,0.262589021506504,1.36245163661566,0.284251376398924
"TWX",0.548269581056466,0.278697651117252,1.47031091896357,0.317273427442871
"CI",0.565190651906519,0.384998417524079,1.74599989924391,0.26394536015357
"NEE",0.578183772165502,0.286375885972736,1.87910317246629,0.139763612063515
"D",0.550837320574163,0.190896263006756,1.3392023110197,0.161052700284637
"EXC",0.533381191672649,0.101575050774317,0.614409731944518,0.342490064972203
"PSA",0.56562328390994,0.292693996204484,1.56087419662092,0.273477327988333
"DUK",0.548987411056377,0.173277872321419,1.23820771362,0.230800154367552
"SBUX",0.556115107913669,0.360374729142587,1.68966260249483,0.297997830829207
"MMC",0.552884615384615,0.262076062558278,1.65464658670868,0.182771878567748
"GRMN",0.54331766286098,0.295593030722659,1.36595321145714,0.476377346974376
"DGX",0.540327129159616,0.179709547310353,0.951527889724662,0.311613921083529
"GT",0.554307116104869,0.387750280529891,1.23539893474399,0.538259893793575
"SO",0.547936507936508,0.121088459365349,0.995331044573246,0.192954797992869
"BMS",0.545299145299145,0.164853752974385,0.944476371846414,0.303118868825769
"CELG",0.560623556581986,0.324530449322248,1.21443442525763,0.446524668279298
"AEE",0.555804823331464,0.237225387568642,1.44515689435514,0.200780287592589
"PFE",0.525,0.163746758172948,1.10829932582735,0.280889730203213
"AIV",0.559955382041272,0.370052608327973,1.65347762564847,0.267336980720351
"CNP",0.547902316844083,0.202026101853505,1.23290103255249,0.263879985996573
"AON",0.56407447973713,0.263904873623374,1.48324069059838,0.257245189012734
"FFIV",0.557281553398058,0.357709263964148,1.19985684507905,0.54549489968432
"MDT",0.546420581655481,0.228762747749208,1.22142865157063,0.291538906222757
"PRGO",0.549935979513444,0.296143452473972,1.1411439634469,0.555347837455968
"BIIB",0.55193482688391,0.367558915748655,1.40892595650308,0.306508002444781
"EQR",0.571523178807947,0.309596065110565,1.65433837821725,0.215642963541487
"PGR",0.557777777777778,0.291178123455993,1.68706079333405,0.221057457096444
"NKE",0.542838018741633,0.244698147395913,1.20722197936083,0.240300883949078
"PAYX",0.553452115812918,0.230136583574775,1.42305266433912,0.236266098409059
"JCI",0.542835481425322,0.230397468214423,1.30262200794104,0.265094409395263
"MON",0.537608867775139,0.253482726482247,1.43718671792339,0.21434182179256
"PNC",0.568745304282494,0.340813553914793,2.13285145241348,0.232155527793362
"XEL",0.564461883408072,0.201258367404089,1.40581998600966,0.146164500286505
"MO",0.573404255319149,0.26942866725617,1.78618336924752,0.203792531960631
"SNI",0.559836065573771,0.26288278319918,1.4116075221507,0.37781065834971
"HSY",0.543781725888325,0.251423134150676,1.60572308757929,0.205516557260197
"FOXA",0.522448979591837,0.291576103511788,1.32956726953271,0.359537913038162
"KEY",0.551543389633081,0.417400239971572,1.59032374013787,0.406365482974522
"ABT",0.539019963702359,0.164971222244285,1.00498236311229,0.311112232312494
"ALL",0.558547276142768,0.302023087598546,1.75369230511508,0.350590361156717
"ESS",0.563806380638064,0.313633704057453,1.63083754152946,0.209684796965306
"RSG",0.572279371954521,0.272663733431661,1.67463318893208,0.243423719725539
"MDLZ",0.542056074766355,0.171341090905725,0.994938371404281,0.2760876715079
"AFL",0.574982722874914,0.316341811521519,2.02157540450544,0.186312282375741
"AME",0.559530463946339,0.258458228840947,1.21678093654662,0.324883118969722
"CCI",0.556810162314749,0.280203022846121,1.74566728256763,0.197318290003718
"BSX",0.520833333333333,0.316045587867069,1.23176677408362,0.401704789881149
"SRE",0.558305830583058,0.221367746572344,1.40552616318304,0.211958188222824
"DTE",0.565357719203873,0.242068893645006,1.5887157789137,0.179286246244256
"MET",0.547694753577107,0.22885094770834,1.19707127354963,0.361330499932477
"NRG",0.527890056588521,0.210157288969771,0.815757462121589,0.610029982543831
"PBCT",0.550056242969629,0.174249912164524,0.950275038061779,0.237534267865831
"VFC",0.544827586206897,0.252904743861655,1.24914260334107,0.435150117016172
"PNW",0.550936768149883,0.197209179734619,1.31599757453778,0.208958565663872
"WEC",0.567307692307692,0.23332829589483,1.50366674312724,0.200926989065842
"USB",0.565706254392129,0.293317771482122,1.97797441921617,0.142691386366466
"CMG",0.573218480814409,0.371255400214644,1.36600390964216,0.478621530110991
"GPC",0.551044083526682,0.213155085113593,1.17059878394281,0.318703300310027
"WMT",0.550750750750751,0.133562873328181,0.911386862089931,0.422958721680186
"ED",0.558477895914941,0.161825137502952,1.15432096394975,0.243663576455541
"CINF",0.553370786516854,0.243922173135528,1.48272582260351,0.27822715431642
"ECL",0.558902635825713,0.252328516235025,1.4586891430208,0.215468744287088
"BBT",0.554511278195489,0.31494931154678,1.53505724836839,0.277262202932423
"UNM",0.552380952380952,0.305034712087444,1.45313000634739,0.336558239491963
"JNPR",0.573579739904175,0.236556910895337,0.845188402685556,0.615834405129997
"QCOM",0.548980933596318,0.213642295461083,0.989927073642265,0.336007071428709
"ICE",0.550247116968699,0.311108551317433,1.83764748267809,0.176812490818999
