"","WinTrade","AnnRetTrade","AnnSharpeTrade","MaxDDTrade"
"MAT",0.55363321799308,0.125305974750519,0.589705363007176,0.612204074448755
"MSI",0.571560480147738,0.294415924234825,1.76940888308264,0.369623663608744
"XL",0.58593054318789,0.340344933853568,1.92782495817962,0.181266651403706
"EW",0.576036866359447,0.321602670503818,1.40198746405151,0.314711811939634
"AMZN",0.566348655680833,0.371262369973726,1.54782211058711,0.304837681753704
"NWL",0.572859744990893,0.270532635185505,1.20521431972134,0.414603799641944
"ROP",0.577868852459016,0.253621946035638,1.53158188287503,0.25556378816404
"HCP",0.58252427184466,0.214445513327162,1.1033003923613,0.442486587342973
"BMY",0.553620531622365,0.0668901486118948,0.384179137645275,0.610600888392285
"NFLX",0.564777327935223,0.550723032319492,1.58034659380213,0.664794133083026
"EMN",0.575381679389313,0.264074492099681,1.3915248777925,0.405294384732265
"IP",0.546478873239437,0.250517327087183,1.21396660966839,0.568726351848537
"AMGN",0.570131180625631,0.220732373384342,1.34234666039201,0.266890595837654
"HCN",0.588785046728972,0.166235353519007,1.02139797425414,0.418557003569264
"REGN",0.558515699333968,0.561760527689032,1.74469663270199,0.41951204184386
"DHR",0.547417840375587,0.167550736681874,1.2089418890209,0.302530665710825
"SCG",0.526315789473684,0.05431838071706,0.393710011587157,0.498202285172438
"PLD",0.570689655172414,0.300962144332034,1.54773445856496,0.373579446606231
"BXP",0.567759078830824,0.261553016728411,1.64348247843263,0.186201889025589
"CME",0.551059730250482,0.203405870551163,1.17484977842019,0.359770932270254
"AVB",0.56749785038693,0.267756669554233,1.64290142487912,0.261461495518964
"AEP",0.584714548802947,0.153438571651285,1.27101456384983,0.217056377645029
"EL",0.564453125,0.31045606011597,1.63938634654624,0.246055389601897
"PPL",0.567343173431734,0.103080688451279,0.855481219722711,0.281306500755853
"VTR",0.571788413098237,0.17178019615571,0.918393294953513,0.631567834193269
"CHRW",0.571182053494392,0.171250069772956,1.00903198148895,0.337629204121899
"EIX",0.5675430643699,0.145877212303751,1.08284390450929,0.175838252968591
"VNO",0.574003795066414,0.216904087357189,1.32827631358075,0.312377202079149
"TWX",0.57168458781362,0.248139609846433,1.3700718214768,0.259247672781692
"CI",0.584438549955791,0.363246198206491,2.00057307602238,0.241356944971714
"NEE",0.582807570977918,0.195963572200036,1.55568573496063,0.211004630847803
"D",0.547896150402865,0.150252648004236,1.28856008131398,0.203188346481833
"EXC",0.543859649122807,0.10475405654401,0.731632556925477,0.330143398205621
"PSA",0.583614864864865,0.249259578559428,1.55980025938871,0.21094303305777
"DUK",0.558823529411765,0.0981748442193483,0.877700291031463,0.321365834015197
"SBUX",0.569113441372736,0.289805349026247,1.61766657853829,0.305222255253986
"MMC",0.561976549413735,0.208105666459502,1.52293430882162,0.158648230270612
"GRMN",0.563098346388164,0.267077613290076,1.32969495527933,0.455623914945942
"DGX",0.555839727195226,0.150585167011954,1.04661290858004,0.35621714673008
"GT",0.548824593128391,0.301355287135695,1.10324047813053,0.555600470218853
"SO",0.532702237521515,0.050342085464079,0.487995191839565,0.362447158899097
"BMS",0.55244122965642,0.151245337405388,1.06779497278858,0.319814813412979
"CELG",0.543533389687236,0.196239013691868,0.858341753377949,0.407235085027698
"AEE",0.561655405405405,0.172840306514534,1.32617528070257,0.291147715088047
"PFE",0.535934291581109,0.135361493722551,1.07898933420773,0.455244058587282
"AIV",0.573398215733982,0.328798533925491,1.76830566047271,0.331698112542942
"CNP",0.552136752136752,0.147291952607786,1.0254135907159,0.329181808734396
