"","WinTrade","AnnRetTrade","AnnSharpeTrade","MaxDDTrade"
"MAT",0.570807993049522,0.187895160817963,0.880401102911468,0.516972752671642
"MSI",0.585820895522388,0.356768568396755,2.13177301298182,0.306109593460818
"XL",0.611459265890779,0.403775888762582,2.27040131999042,0.167450076513434
"EW",0.592250922509225,0.387796855821279,1.68645702148478,0.285461946292303
"AMZN",0.583840139009557,0.441551136824651,1.83835519521912,0.295038370989865
"NWL",0.594843462246777,0.335620968674394,1.4906638753791,0.393684706144607
"ROP",0.599671862182117,0.319213174643739,1.91700379601362,0.23058715865613
"HCP",0.598540145985402,0.28155670712528,1.44151542491257,0.376352642681314
"BMY",0.574585635359116,0.130899608547762,0.748885877580422,0.532864745792232
"NFLX",0.578093306288032,0.612764699522601,1.75344694150525,0.654172169121284
"EMN",0.591212989493792,0.322447454722743,1.68987932301709,0.374802540199097
"IP",0.562558795860771,0.315344358866696,1.51821523208481,0.440108289940749
"AMGN",0.591919191919192,0.285926665740446,1.72963240426033,0.249422557722147
"HCN",0.610328638497653,0.228470400928386,1.39992148321486,0.331850143140667
"REGN",0.572380952380952,0.63030828137296,1.94926549539483,0.352783079339315
"DHR",0.579641847313855,0.23927997456177,1.72135302802813,0.229598510735736
"SCG",0.555769230769231,0.120392245279777,0.869851377511189,0.410897275267272
"PLD",0.586655112651646,0.365120683329362,1.8669224421942,0.359646118487273
"BXP",0.590788308237378,0.328554710917729,2.04945332539979,0.181775774155681
"CME",0.574324324324324,0.272042706310855,1.56006746970847,0.307058046758806
"AVB",0.588134135855546,0.333321629989324,2.03556226397626,0.189941770439704
"AEP",0.605360443622921,0.215322267511675,1.77223521299031,0.181214816843207
"EL",0.584313725490196,0.382315469113323,2.010333546295,0.170518301852751
"PPL",0.594795539033457,0.16993599201859,1.40290593302137,0.190239059729946
"VTR",0.592935239697225,0.235853223511693,1.25524589690584,0.573652534120399
"CHRW",0.603298611111111,0.237512071907045,1.39466812766663,0.277379624782774
"EIX",0.591446769790719,0.215785216440345,1.59163405198143,0.154495424832963
"VNO",0.590693257359924,0.285588047902018,1.74024935264289,0.254392931289576
"TWX",0.601083032490975,0.315510675830699,1.73218358992922,0.240102750186205
"CI",0.601950354609929,0.433866036414653,2.36961362574106,0.226804528969387
"NEE",0.597791798107255,0.257699721501403,2.03770805894431,0.178806750438184
"D",0.573991031390135,0.215624616672486,1.83824623050834,0.15898007682025
"EXC",0.560185185185185,0.168623763679542,1.17225733418398,0.254774673607996
"PSA",0.603550295857988,0.312815485219346,1.94820766502311,0.196612208565256
"DUK",0.593013100436681,0.167399683100486,1.48820668078531,0.237068221402002
"SBUX",0.582217973231358,0.347759356681951,1.93254719739014,0.289767763636625
"MMC",0.597643097643098,0.27523642929831,2.00609870005272,0.152738528236691
"GRMN",0.583845478489903,0.337831133631228,1.67404448696339,0.300072991603065
"DGX",0.576561163387511,0.213650188462308,1.48277642415609,0.233773719535881
"GT",0.560290117860381,0.365645740374387,1.33424233736267,0.426424209172206
"SO",0.570190641247834,0.114196056302265,1.09785758881264,0.242427529478519
"BMS",0.578564940962761,0.215675602100494,1.51189608796882,0.265371727205998
"CELG",0.569491525423729,0.273661498210374,1.19411335866308,0.33745324615548
"AEE",0.589087809036658,0.236760799908508,1.80330113261256,0.182518401506473
"PFE",0.559462254395036,0.203298734735258,1.60521119658895,0.306886390504963
"AIV",0.587223587223587,0.395766703376152,2.11981486363764,0.318879316814218
"CNP",0.573516766981943,0.211325655436141,1.46245502227969,0.230219776350891
"AON",0.599833610648918,0.280200064887095,1.94297058404167,0.261333282341311
"FFIV",0.56385751520417,0.387743705376858,1.43242650113863,0.359772476286993
"MDT",0.593357271095153,0.235883595497374,1.54087841303667,0.265712484358887
"PRGO",0.571553228621291,0.262313862984991,1.13135903557904,0.567140978007885
"BIIB",0.593023255813954,0.403164957757745,1.89326664720074,0.187429402507529
"EQR",0.588031222896791,0.297627402333963,1.78239030777109,0.282150127603882
"PGR",0.596774193548387,0.311112293754876,2.14216527511421,0.190597713832761
"NKE",0.581900452488688,0.27486982753142,1.55726872599596,0.241231366397385
"PAYX",0.603347280334728,0.2902653981034,2.13046104072146,0.198848023764585
"JCI",0.57298277425204,0.256485108693778,1.51488749130566,0.272726636585033
"MON",0.567111111111111,0.333326121591377,1.85497839364652,0.271512920803716
"PNC",0.583636363636364,0.351871821371317,2.00307006412614,0.206784496279697
"XEL",0.588282504012841,0.198349475182423,1.63041251085051,0.157767577055849
"MO",0.618548387096774,0.252345332453315,2.15961316783347,0.159564788974866
"SNI",0.592142188961646,0.2906772934999,1.57675397334595,0.334575294848186
"HSY",0.578996282527881,0.244836809785644,1.70216163714744,0.244075372907356
"FOXA",0.571276595744681,0.331216315225114,1.65608376505052,0.346383981466067
"KEY",0.606860158311346,0.502020643143075,2.11662777316596,0.230180556757861
"ABT",0.582933844678811,0.217624474793649,1.66791205862989,0.160383429743246
"ALL",0.600742804085422,0.311729719236303,2.13758224933073,0.275160779132881
"ESS",0.586756077116513,0.260335901423908,1.65283744546359,0.293513512069359
"RSG",0.609149277688603,0.299096482786977,2.20339548080365,0.212447016631474
"MDLZ",0.584299732381802,0.214770915237702,1.53007404736391,0.241565911719351
"AFL",0.593582887700535,0.325947747950204,1.84559748063027,0.216415227421451
"AME",0.588962108731466,0.299909009807799,1.74445121296209,0.196195710399699
"CCI",0.578747628083491,0.288157437226555,1.99898793011147,0.218757549072536
"BSX",0.569838056680162,0.393080879228284,1.89702432014348,0.163782425532213
"SRE",0.606451612903226,0.244971109896147,1.9293779049538,0.179425006348564
"DTE",0.604026845637584,0.223183293303763,1.74377092129962,0.183330158870719
"MET",0.571566731141199,0.253639878810204,1.19916560620472,0.557749390675668
"NRG",0.560606060606061,0.213905153911431,0.838373098902033,0.590263556474013
"PBCT",0.583401807723911,0.205552350078703,1.30723953486673,0.214037675528207
"VFC",0.573724007561437,0.30602452045497,1.76064682705105,0.273674321196098
"PNW",0.598896044158234,0.210143841968934,1.75381121177962,0.148093131216371
"WEC",0.607142857142857,0.238106713307939,1.93781957969926,0.14921442448598
"USB",0.595840867992767,0.338201950958176,2.1209082428401,0.158308971939003
"CMG",0.593869731800766,0.446517391767013,1.85455332284663,0.418406154682784
"GPC",0.59185520361991,0.192951006764324,1.29649907921084,0.299662171859553
"WMT",0.592756183745583,0.175334622381802,1.37784604230727,0.282277986242212
"ED",0.609571788413098,0.203006456803215,1.82654830725453,0.138763271288048
"CINF",0.598812553011026,0.289483891193817,2.04534121506236,0.191973201650973
"ECL",0.612489307100086,0.286652742875579,2.00026919785929,0.142438135356973
"BBT",0.567000911577028,0.283873214779722,1.51835473391579,0.285803716886929
"UNM",0.58311345646438,0.316194560989612,1.6372418084935,0.338321045366025
"JNPR",0.595559845559846,0.389503679134347,1.62311967844257,0.42328480115332
"QCOM",0.589077887197851,0.24407052702269,1.28561439464839,0.366621821754433
"ICE",0.579162410623085,0.354205007476588,2.05549670475109,0.181911391017614
"XRAY",0.581669691470054,0.237677089995599,1.4773272510336,0.252979761011795
"NI",0.594411515664691,0.321445436806497,2.24635507542938,0.163959782671533
"MMM",0.60852407261247,0.292838327540145,2.21378888624612,0.137860874570891
"HRS",0.581742738589212,0.260807413919594,1.59848101246889,0.347524112664722
"CA",0.576329331046312,0.226067000641756,1.33952500852512,0.259168561059826
"DPS",0.610445205479452,0.334091942258813,2.33263724858167,0.150199011419216
"HUM",0.584269662921348,0.322322264275761,1.60608297480103,0.335686880489174
"SNA",0.583788706739526,0.330651644815563,2.00963319001815,0.252340472304691
"SRCL",0.605728727885425,0.234383521674092,1.36330772810663,0.384332159399202
"AIZ",0.586387434554974,0.29020329520394,1.6915728354395,0.242686343435663
"CL",0.556412729026037,0.134304079361116,1.2135081113913,0.156756429435994
"CTL",0.563239308462238,0.105697152325902,0.56334171683921,0.409153207091783
"PDCO",0.584552845528455,0.222501833658278,1.29767135475802,0.321885700004868
"COL",0.5858310626703,0.361579414505952,2.49073313470715,0.142923965243482
"PEG",0.593054318788958,0.246865071981493,1.75090174264104,0.196430435511427
"SYMC",0.579293344289236,0.288732589294879,1.43589481325908,0.321631155978425
"AMT",0.601087941976428,0.334424911894089,2.22159246840579,0.1772582668252
"TIF",0.582963620230701,0.266468649619156,1.21643141225399,0.587412444417938
"HRL",0.597341673182174,0.264351009352236,1.69883274490409,0.203899689811603
"IFF",0.584677419354839,0.302563320262215,1.8990876264122,0.222786212067618
"FIS",0.599491955969517,0.304475242539695,1.81915297957732,0.155351928037408
"NDAQ",0.601469237832874,0.339607914306659,1.79227413227637,0.317350079839493
"PNR",0.586936522539098,0.344440503287136,1.7638430716929,0.267361343518663
"AET",0.590208522212149,0.354760848632718,1.83126857989055,0.256667112581997
"COST",0.586459286367795,0.234795742802018,1.777314466534,0.152188127328855
"GLW",0.591071428571429,0.365990985311236,1.84343818952753,0.301445119432828
"HIG",0.590425531914894,0.407379552835967,1.73274831613868,0.326454467932309
"LEG",0.605028386050284,0.356030331327449,1.95758300942701,0.273860651807067
"MCHP",0.587551867219917,0.319770475406755,1.69516333735127,0.224683286307904
"TXT",0.587002096436059,0.404973583333162,1.81979238322836,0.409179347844893
"SYY",0.597160603371783,0.246604101859698,1.95861159689004,0.157843198688845
"LMT",0.595918367346939,0.269569470407835,2.16675640448508,0.158169677996826
"INTU",0.608391608391608,0.374074171499387,2.16131103935068,0.214414498676428
"PEP",0.594741613780598,0.185412225756419,1.80825915378262,0.108377752881062
"TRV",0.603868797308663,0.288537588248963,2.24165331409156,0.131914946571809
"MA",0.600344530577089,0.387623730609869,2.0185294983958,0.238635790547842
"TDC",0.584130019120459,0.262811080158174,1.07077267787179,0.650371947053254
"AVGO",0.595878136200717,0.510906204286215,1.98410306883084,0.299949589842234
"AN",0.561924257932446,0.330050251935998,1.59091647139844,0.345475443085659
"GGP",0.580912863070539,0.368036207658044,1.6026436816588,0.415208161682041
"IR",0.587848932676519,0.391480119161599,1.96378185839639,0.378145715006011
"UNH",0.593587521663778,0.378552417956255,2.24399854734904,0.219305679105697
"CB",0.595836947094536,0.28409618820489,2.09231216126971,0.127836307631819
"KMB",0.608130081300813,0.220234982581358,1.97128833882854,0.245095144861183
"PH",0.585492227979275,0.381190114416475,1.85656712007215,0.335002773891883
"MCD",0.611755607115236,0.24354262297269,1.94954349851316,0.164866625758501
"ETR",0.582226762002043,0.192786880482473,1.59202390730618,0.252068015097436
"RF",0.589958158995816,0.537953540055275,1.91741214927067,0.439302197854964
"EXPD",0.572212065813528,0.333917843302117,1.93969342328381,0.192577851518477
"L",0.586138613861386,0.233925026333404,1.84699689555873,0.194038092094641
"LLY",0.604395604395604,0.243426596781677,1.68343386585147,0.224547122412519
"WM",0.593574297188755,0.166846798703546,1.28650516123843,0.252642825955005
"DRI",0.599206349206349,0.328951753328292,2.02706022339351,0.352872774295061
"ZION",0.576271186440678,0.41435452746876,1.669931247259,0.390810858764464
"KO",0.600703605980651,0.186014199094482,1.68071565724233,0.169256551018425
"RL",0.5625,0.247501824392267,1.28457122498749,0.501526062750397
"ADP",0.600787401574803,0.243723026997916,1.79704313302422,0.16147473163329
"CMS",0.603242320819113,0.27452475633702,2.21384875265247,0.149560466752705
"SYK",0.583636363636364,0.253938735344725,1.75539781637057,0.209565291345485
"TEL",0.573799126637555,0.335571787790593,1.85440148074489,0.287867614428724
"GD",0.581866197183099,0.249627934835852,1.7382492794462,0.300262910926793
"FE",0.568833652007648,0.153240530902473,1.08504605654459,0.237958511900993
"ITW",0.601933924254633,0.311915598353229,2.01975330551527,0.291856847998396
"FITB",0.583038869257951,0.408317945585735,1.78786526665768,0.420909942491152
"VLO",0.58210332103321,0.37565332437888,1.5179963741041,0.41605239261773
"HBAN",0.588503649635037,0.459704878049305,1.99361782211325,0.246660451975989
"YUM",0.600884955752212,0.325825858005552,1.91429742082949,0.171179511941823
"DIS",0.6,0.290048183294465,1.90323148456603,0.249038839545236
"CCL",0.591234347048301,0.313930204935321,1.54487677765528,0.340881587298169
"ALXN",0.577114427860697,0.341121191746565,1.33423175000741,0.568044133551356
"FSLR",0.558139534883721,0.241436021094506,0.658655076940646,0.818765430298024
"PM",0.571035747021082,0.216563573800304,1.6862420791211,0.261280529742018
"UHS",0.579584775086505,0.400505904037285,1.86032917393679,0.300564350076814
"JNJ",0.594243268337976,0.213648248700658,2.08080023198242,0.0973556591393737
"LLL",0.578358208955224,0.313249807259871,2.13419112230898,0.160451833614512
"OMC",0.57542908762421,0.214455719179724,1.35701720569264,0.259291939918473
"TSN",0.635964912280702,0.497087539815937,2.4320382211592,0.223790764109731
"APH",0.580672268907563,0.326439340435177,1.89362983745084,0.265076462623008
"BAC",0.581967213114754,0.377048779098636,1.52145400930006,0.461916131265374
"HAS",0.58195211786372,0.304516465839344,1.63360195996863,0.209491177878392
