"","WinTrade","AnnRetTrade","AnnSharpeTrade","MaxDDTrade"
"MAT",0.448372093023256,-0.334838980636585,-1.59241380008154,0.972585220575591
"MSI",0.438827098078868,-0.151328701569,-0.890687528009002,0.923180558067662
"XL",0.457971014492754,-0.168297042581281,-0.935291066192404,0.929162573743656
"EW",0.467307692307692,-0.133683334836861,-0.545017452888254,0.912096340281303
"AMZN",0.473029045643154,-0.0808029128560398,-0.387070550977075,0.894965152307968
"NWL",0.428714859437751,-0.261020168765123,-1.2010884509431,0.960980821253983
"ROP",0.44421906693712,-0.158496377207311,-1.05959465289725,0.896816821029246
"HCP",0.4399243140965,-0.308092698741559,-1.60578870634892,0.972698784670109
"BMY",0.402173913043478,-0.36596165853045,-2.16671391709827,0.962029422783302
"NFLX",0.49203187250996,0.119130430409253,0.310873599243201,0.922065705534629
"EMN",0.470404984423676,-0.126380232744609,-0.659203440748204,0.899451118688202
"IP",0.470031545741325,-0.0860944729759006,-0.43230246453225,0.918586515424305
"AMGN",0.449790794979079,-0.176445377746451,-1.03155821896828,0.867621176280735
"HCN",0.432938856015779,-0.306382402265738,-1.97163934822462,0.957217998410497
"REGN",0.481262327416174,0.170119046924906,0.544736335121187,0.810826258156086
"DHR",0.420442571127503,-0.277578697602256,-1.87252112775858,0.945282549991927
"SCG",0.406593406593407,-0.388546932733139,-2.6719656210945,0.97142212618642
"PLD",0.463697967086157,-0.0828820831629109,-0.434756619406375,0.904722838753742
"BXP",0.476847290640394,-0.109156659561791,-0.672764946364797,0.89605834174404
"CME",0.419155509783728,-0.225254200496434,-1.26052315583208,0.944105103346385
"AVB",0.448501872659176,-0.159555084954299,-0.982753477799646,0.938656317235963
"AEP",0.419087136929461,-0.267535228800633,-2.21048129749701,0.9205191681884
"EL",0.425149700598802,-0.182046919900414,-0.969612641671036,0.932690582884537
"PPL",0.38996138996139,-0.428402041119185,-3.4407275202481,0.976775246752548
"VTR",0.464077669902913,-0.230170019324341,-1.22340815646973,0.954028054911377
"CHRW",0.431881371640408,-0.230089204228436,-1.3961335121588,0.927551392035633
"EIX",0.444444444444444,-0.280914308065689,-2.1100315809935,0.931176713317747
"VNO",0.422340425531915,-0.199873370520689,-1.26915389234939,0.94393897360111
"TWX",0.440643863179074,-0.190577757662146,-1.09551252675114,0.902237936253803
"CI",0.468023255813953,-0.0890961569477203,-0.477999994151296,0.859734706335879
"NEE",0.451552210724365,-0.217945364975402,-1.76473030897433,0.903377038512546
"D",0.413361169102296,-0.268528727294891,-2.37715846433977,0.921288534361276
"EXC",0.399402390438247,-0.36635178365057,-2.52664971749528,0.964174336942045
"PSA",0.453535353535354,-0.162964883979576,-1.11017426221693,0.914853136034691
"DUK",0.382936507936508,-0.337207190842698,-2.91531326838522,0.945991932211408
"SBUX",0.458706467661692,-0.165725332172946,-0.887081475344651,0.911947473142607
"MMC",0.418918918918919,-0.276247205337828,-2.1043282950336,0.93901738087854
"GRMN",0.439169139465875,-0.19711504363213,-1.03895661527584,0.949162210947768
"DGX",0.40625,-0.309764712950692,-2.19270124554778,0.953118131876146
"GT",0.455159112825458,-0.219088270586197,-0.853087120500118,0.976937208210361
"SO",0.36976506639428,-0.408799181502247,-3.79010118545255,0.96807783240121
"BMS",0.421353670162059,-0.292132932590113,-1.99238432073666,0.952910727246061
"CELG",0.430583501006036,-0.284778145436435,-1.33516967292641,0.959945435402407
"AEE",0.426693629929221,-0.3093945152404,-2.33587320760351,0.949650273723085
"PFE",0.35706340378198,-0.372381782907739,-2.84845181731044,0.963836228920471
"AIV",0.464920486435921,-0.0853346578812625,-0.47967731528524,0.899872092618819
"CNP",0.403714565004888,-0.396688545624517,-2.74708295579081,0.96884156041313
"AON",0.417206290471785,-0.25271027257508,-1.70632995287864,0.926879578915649
"FFIV",0.495821727019499,-0.0534726326332679,-0.190219520991801,0.956791693728282
"MDT",0.433009708737864,-0.290734781949905,-1.94222418510664,0.942874410145353
"PRGO",0.460079840319361,-0.107143579119613,-0.534078379662485,0.910103063277554
"BIIB",0.467789890981169,-0.15243941808961,-0.670559810506595,0.892449461008065
"EQR",0.429362880886427,-0.221344311765513,-1.30452743545911,0.960423472563048
"PGR",0.401574803149606,-0.284393087343326,-1.99631954450413,0.942429879404074
"NKE",0.427443237907206,-0.229538313878729,-1.24947053359081,0.915075159662162
"PAYX",0.414503133393017,-0.336228763707171,-2.40220446824932,0.955992553138351
"JCI",0.433673469387755,-0.240673972567627,-1.46233086982921,0.939285352063856
"MON",0.438683948155533,-0.173387993362689,-0.990057850503557,0.929381555706031
"PNC",0.448841698841699,-0.192602803215161,-1.10940945497409,0.948612298451223
"XEL",0.399422521655438,-0.336181919668649,-2.87217329126636,0.946684983642874
"MO",0.428982725527831,-0.270288380797491,-2.27850143231707,0.911224724663363
"SNI",0.44810379241517,-0.231694804925681,-1.31748978348885,0.947550943064706
"HSY",0.423037716615698,-0.232012708317216,-1.65308938266029,0.917693130638276
"FOXA",0.461847389558233,-0.186192485819984,-0.95226143312305,0.941074982881764
"KEY",0.444123314065511,-0.309568458645464,-1.38571071159036,0.982548725194739
"ABT",0.393008474576271,-0.338010264530313,-2.4852563438166,0.94079306905114
"ALL",0.431,-0.206021523583218,-1.37214015357536,0.905997151869712
"ESS",0.446311858076564,-0.174369751952685,-1.14404837561197,0.926409850336456
"RSG",0.432380952380952,-0.281536908277969,-1.99226716961337,0.947130710278688
"MDLZ",0.401140684410646,-0.347041538507492,-2.37420872079531,0.950881980152835
"AFL",0.432485322896282,-0.192336443787521,-1.03565018927357,0.949883791744419
"AME",0.423300970873786,-0.279578393762547,-1.55399633090241,0.955527416014841
"CCI",0.428435114503817,-0.215438168995262,-1.44036075086417,0.929435512376575
"BSX",0.408591408591409,-0.266906458008043,-1.28053341890362,0.947987216219129
"SRE",0.431,-0.266335206731752,-2.06394667689022,0.925165010394182
"DTE",0.422680412371134,-0.282634975750792,-2.35647200967419,0.927588065300993
"MET",0.445015416238438,-0.233937001051849,-1.08599166613556,0.966108314130066
"NRG",0.438180019782394,-0.366169786414107,-1.48295105146351,0.977276383851193
"PBCT",0.376383763837638,-0.547739750099131,-3.30455902403851,0.989815224997551
"VFC",0.437113402061856,-0.178847297596256,-1.09405565273255,0.889724854817707
"PNW",0.405544147843942,-0.274326221705189,-2.33568414757632,0.929654822872253
"WEC",0.418274111675127,-0.290245530258131,-2.33270697937059,0.935416653845666
"USB",0.421212121212121,-0.193767858850299,-1.20629056194712,0.926663756614359
"CMG",0.480283114256825,-0.075959908984937,-0.319100933485067,0.941381728246415
"GPC",0.4287109375,-0.238427933607826,-1.67778174819277,0.928265103380112
"WMT",0.392082940622055,-0.318929185566664,-2.44674899054902,0.935765331855988
"ED",0.411764705882353,-0.308516520973011,-2.8268538835344,0.931526231325625
"CINF",0.41635687732342,-0.343295147531087,-2.38090909563915,0.963643745643068
"ECL",0.40755873340143,-0.24006280043955,-1.73720010194521,0.906149932576273
"BBT",0.433712121212121,-0.252029860630015,-1.3859369988801,0.962229903854807
"UNM",0.45045045045045,-0.25043457572059,-1.33090697641791,0.960189232268584
"JNPR",0.44817374136229,-0.302074537895021,-1.17271618998417,0.982105128865289
"QCOM",0.438294010889292,-0.333849745866798,-1.69205911832683,0.975695392785258
"ICE",0.418918918918919,-0.204355923283503,-1.19509698368452,0.941704779402978
"XRAY",0.410582010582011,-0.34456757260425,-2.24090601572566,0.969014839800995
"NI",0.362725450901804,-0.498819789411275,-3.40247389273254,0.984078131653953
"MMM",0.411327762302693,-0.250169272667912,-1.79510277847789,0.924441106029713
"HRS",0.456730769230769,-0.198727167460987,-1.18832522108078,0.925080913497369
