"","WinTrade","AnnRetTrade","AnnSharpeTrade","MaxDDTrade"
"MAT",0.541395348837209,0.0510300650684594,0.247106138410677,0.71974663314316
"MSI",0.538928210313448,0.183916678958347,1.10863818955692,0.447987632536907
"XL",0.544927536231884,0.197070342918811,1.12195720761478,0.384503680432588
"EW",0.549038461538462,0.188654797080284,0.778631552162684,0.570981555824468
"AMZN",0.538381742738589,0.19290145104194,0.929250703006438,0.533869998522704
"NWL",0.531124497991968,0.119000897756218,0.556656207826057,0.586647239963942
"ROP",0.536511156186613,0.152976943325681,1.05261481231769,0.37001659623802
"HCP",0.533585619678335,0.0614626325071254,0.328165317778299,0.727073463449243
"BMY",0.505928853754941,-0.0093080321864391,-0.057018301602775,0.631550931584641
"NFLX",0.545816733067729,0.485793269454116,1.27144750857538,0.51074251747496
"EMN",0.548286604361371,0.187345874009002,0.987400144309664,0.483468306001817
"IP",0.560462670872765,0.279108878209479,1.41010704551579,0.327070854871772
"AMGN",0.531380753138075,0.1215122373288,0.724320095330584,0.315037953757988
"HCN",0.536489151873767,0.00829658600724845,0.0554656142396705,0.687460338014386
"REGN",0.538461538461538,0.462960550602091,1.47296943819216,0.500613669212875
"DHR",0.528977871443625,0.0803055225183617,0.571018060931471,0.522832924802078
"SCG",0.516483516483517,-0.0360583790475656,-0.26002400523743,0.702507607009748
"PLD",0.567279767666989,0.269203218497756,1.42781973343356,0.429927296293471
"BXP",0.542857142857143,0.198025631005187,1.2438275550598,0.388889185948399
"CME",0.514933058702369,0.105320815973524,0.599965160285957,0.558361913833135
"AVB",0.537453183520599,0.148632985954721,0.936355728256514,0.576507235948458
"AEP",0.550829875518672,0.0592987695423018,0.514319377631828,0.356347894021544
"EL",0.510978043912176,0.156196873964509,0.845886991305698,0.594274005240251
"PPL",0.50965250965251,-0.0353137620974892,-0.306396883897138,0.697880593018241
"VTR",0.540776699029126,0.0736756818587284,0.40070179232553,0.673411147657442
"CHRW",0.516218721037998,0.0900777197312118,0.568617310316454,0.525027822622381
"EIX",0.53968253968254,0.0408631622513685,0.320760077426987,0.481993900547094
"VNO",0.512765957446809,0.105020978105961,0.681893735390938,0.648873006519293
